""	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"
"ASV_1"	9853	11698	4724	16208	11574	18137	3559	18071	18940	28552	9567	18750	19424	23741	25504	20291	21785	19966	20576	16485	17329	18750	23295	19881	19871	19803	21311	17629	22279	25327	11233	8552	12779	18838	17966	6952	18871	24015	29455	6471	19172	24159	21713	6228	23161	24442	21851	14375	23696	21583	14700	17348	18126	15123	21678	4	287	782	0	191	2	2	12	1	0	24097
"ASV_2"	9932	10238	416	83	11478	6671	20	3149	7	16	38	10215	8187	7504	7323	7378	7879	9297	12907	7845	12571	9597	8710	13912	19737	14235	9338	12459	19025	10500	870	1612	956	5115	6003	6577	10611	10810	8110	4822	6709	7779	6132	3696	6343	6802	8013	5961	6385	9602	2005	8634	9716	9895	6033	4	2	6	0	63	2	0	7	5	0	5271
"ASV_3"	55	223	15	1950	830	522	29	1014	1465	44	13	4	3500	3125	599	3404	3206	1935	2239	2252	1945	1234	2987	3127	2559	2611	1007	4049	2460	1551	29	25	33	1426	300	30	4520	1302	3851	29	1701	435	90	34	10165	4497	4239	2340	3552	2805	1443	2690	4092	2464	4476	3	2	2	0	22	0	2	1	2	0	725
"ASV_4"	89	53	27	3	1	0	4	3133	11	59	6	4088	4261	5546	6430	236	327	2	4417	1228	966	1152	389	351	903	284	1615	113	453	2823	36	111	30	3314	3816	5287	1149	3217	6072	4468	5556	2715	6163	6272	1536	408	1089	1183	789	8524	270	1928	1607	444	204	1	0	10	0	8	0	0	18	1	0	1135
"ASV_5"	5021	4488	3560	5233	134	36	30	52	4224	5238	1603	2634	4139	721	520	2695	509	3526	360	4625	1473	2950	348	63	4	3	3	53	5	4	4	10	5	1077	84	9954	66	1404	1667	7891	1247	1565	1620	9830	1289	40	8	0	77	15	88	9	44	3	43	45	0	13	0	6	0	1	111	0	0	2351
"ASV_6"	110	158	3456	41	6147	2074	7902	2569	141	1137	4867	158	22	61	22	11	22	13	15	40	14	13	2	0	2	3	2	2	3	1	4	3	7	33	3	63	6	5	39	72	11	553	7	74	15	5	7	5	33	3	6	3	1	9	12	0	1916	0	0	0	0	0	2	0	0	275
"ASV_7"	113	59	9699	235	0	0	53	4	2	0	410	0	1	27	4	4	11	1	20	9	1	1	1	1	2	0	2	1	0	3	4780	6742	3923	0	1	5	2	0	2	3	2	0	0	6	0	2	0	0	3	0	0	0	0	0	0	0	81	12	0	0	0	0	0	0	0	0
"ASV_8"	4	0	38	0	0	1	1	0	0	0	9	0	1	4	0	1	2	1	0	0	1	0	7	3	15	4	5	3	10	10	44	358	58	61	1474	847	4038	43	80	27	28	6	166	283	1549	538	1775	172	19	15	953	3185	66	10	29	0	1	0	0	4	0	0	0	0	0	2
"ASV_9"	691	263	13	871	1205	679	62	556	1476	717	27	721	194	46	125	164	327	140	108	291	122	183	126	85	261	65	34	84	288	129	3	2	1	246	280	8	544	69	54	14	354	73	62	6	259	530	227	341	418	457	117	163	666	494	417	0	13	0	0	0	0	0	2	0	0	14
"ASV_10"	4	34	3006	7	0	20	4518	4	30	83	5544	3	0	5	1	0	2	0	6	0	0	0	0	3	0	0	0	0	0	0	36	75	27	0	2	6	1	0	1	1	1	1	0	13	1	3	0	0	2	1	0	0	1	1	0	0	1007	0	0	0	0	0	3	1	0	0
"ASV_11"	6	5	193	3	0	0	5	0	0	0	7	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1142	4356	3017	17	18	3494	33	0	1	7	0	8	8	180	15	26	29	34	46	28	21	24	61	39	33	1	0	0	0	0	0	0	0	0	0	2
"ASV_12"	11	25	700	2	0	0	5	0	6	2	73	0	0	1	1	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	0	0	89	62	7727	93	3	14	633	2	35	124	1891	253	96	116	102	173	88	40	77	119	79	84	0	0	0	0	3	0	0	0	0	0	1
"ASV_13"	13	3	381	3	0	0	10	0	4	0	22	0	11	7	427	0	796	7	102	11	0	123	0	0	0	0	0	0	0	0	688	858	942	5	2	2629	0	1	2	2642	0	2	5	2655	5	17	24	25	2	3	49	6	6	0	0	0	0	0	0	1	0	0	0	0	0	3
"ASV_14"	1	0	32	1	0	1	1	0	1	0	7	2	1	2	1	2	6	1	2	2	1	2	1	0	2	0	1	2	1	1	62	286	67	2	1	100	463	0	0	8	0	3	0	24	19	3	1978	2817	1045	913	18	976	1917	1	1307	0	0	0	0	7	0	0	0	0	0	1
"ASV_15"	0	0	460	0	2	0	1917	5	0	0	159	1	3	1	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	0	3314	1301	3189	0	0	17	1	0	0	5	0	0	0	2	1	1	0	1	0	0	1	1	1	0	0	0	549	0	0	0	0	0	0	0	0	0
"ASV_16"	2	10	1703	11	113	33	4422	323	142	34	2266	51	0	12	1	10	1	1	3	3	11	1	0	0	0	0	1	2	0	0	1	0	1	3	1	90	0	13	16	85	5	19	6	85	11	0	0	0	4	2	2	0	0	1	3	0	1408	0	0	0	0	0	0	0	0	1
"ASV_17"	248	114	149	598	70	31	255	184	700	189	389	59	44	22	23	32	150	18	16	91	27	16	152	126	212	99	36	58	405	61	163	279	227	30	22	371	51	48	90	202	69	112	7	242	43	268	543	469	350	302	169	247	294	385	533	0	0	0	0	1	0	0	0	0	0	20
"ASV_18"	3	3	1924	8	35	9	2894	13	4	29	3377	1	24	497	359	25	110	25	96	22	1	9	0	1	0	1	0	1	0	0	2	2	0	0	5	24	0	0	1	6	0	0	1	30	1	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	2	0	0	0
"ASV_19"	7	26	94	34	39	31	8	39	44	57	18	43	29	34	38	34	48	37	31	15	28	23	41	38	40	39	44	34	36	37	4080	140	1961	25	34	128	29	42	59	10	28	32	43	22	34	44	41	25	42	41	31	29	34	23	43	0	3	2	0	0	0	0	0	0	0	28
"ASV_20"	1	0	3	0	1	0	0	0	0	0	1	0	142	1	0	1	209	0	1	34	0	8	58	0	0	2	1	0	0	0	0	0	1	85	34	2213	8	25	320	731	120	79	287	1526	544	16	17	4	32	2	8	5	3	1	9	0	0	0	0	0	0	0	0	0	0	227
"ASV_21"	25	18	51	47	100	18	70	41	16	242	94	23	11	30	735	36	11	40	35	2	28	1	118	1039	68	266	5	516	344	210	0	3	0	57	42	23	2	34	101	12	42	52	71	16	46	45	29	325	415	0	14	25	113	85	730	0	0	0	0	0	0	0	0	0	0	5
"ASV_22"	2	3	87	0	0	0	3	0	2	0	9	0	1	0	1935	0	660	2	0	652	1	10	0	0	7	0	1	2	1	0	217	1219	326	2	0	336	1	0	0	2	0	0	0	40	1	6	1	1	3	3	264	0	1	3	1	0	0	0	0	0	0	0	0	0	0	2
"ASV_23"	645	683	119	815	4	0	16	18	843	407	74	60	140	213	311	130	186	341	57	299	81	117	0	1	0	0	1	0	0	0	1	1	1	25	13	2	5	39	0	5	15	1	7	1	12	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
"ASV_24"	0	0	1	0	0	0	0	0	0	0	17	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1454	67	3946	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"ASV_25"	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1493	314	3284	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
"ASV_26"	1	0	1635	4	0	0	45	0	5	0	2976	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ASV_27"	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	20	5	0	121	128	2660	0	0	26	3	40	144	66	817	0	0	0	0	0	5	0	109	0	0	0	0	0	0	0	0	0	0	0	0	11
"ASV_28"	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	44	58	28	20	4	1061	0	4	22	1499	19	62	3	1038	22	5	2	1	18	8	3	4	0	1	17	0	0	0	0	1	0	0	0	0	0	0
"ASV_29"	2	0	50	0	0	0	66	2	0	0	95	0	1	0	0	0	1460	0	0	0	0	0	0	0	0	0	0	0	0	0	34	42	32	3	0	119	0	2	5	96	2	10	1	69	10	0	1	0	523	0	0	1	0	0	1087	0	0	0	0	2	0	0	1	0	0	0
"ASV_30"	233	521	1160	201	0	0	12	0	56	0	287	0	0	4	1	2	3	0	0	1	5	1	0	0	0	1	0	0	0	1	0	0	0	9	0	755	0	0	0	25	0	0	0	347	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_31"	14	24	203	20	0	0	6	0	7	14	200	1	0	0	0	3	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	3	8	2255	20	2	0	105	0	2	5	546	22	23	11	16	16	12	6	8	17	21	14	0	0	0	0	0	0	0	0	0	0	0
