#Exported for mctoolsr
"#ASV_ID"	"BA1B-150-ac-A"	"BA1B-150-bic-A"	"BA1B-150-ENV"	"BA1B-150-form-A"	"BA1B-20-ac-A"	"BA1B-20-bic-A"	"BA1B-20-ENV"	"BA1B-20-form-A"	"BA1B-250-ac-A"	"BA1B-250-bic-A"	"BA1B-250-ENV"	"BA1B-250-form-A"	"BA1B-250A-D2O-Acet"	"BA1B-250A-D2O-Bic"	"BA1B-250A-D2O-Form"	"BA1B-250A-D2O"	"BA1B-250A-H2O"	"BA1B-250B-D2O-Acet"	"BA1B-250B-D2O-Bic"	"BA1B-250B-D2O-Form"	"BA1B-250B-D2O"	"BA1B-250B-H2O"	"BA1D-120A-D2O-Bic"	"BA1D-120A-D2O-Form"	"BA1D-120A-D2O"	"BA1D-120A-H2O"	"BA1D-120B-D2O-Bic"	"BA1D-120B-D2O-Form"	"BA1D-120B-D2O"	"BA1D-120B-H2O"	"BA3A-150-ENV"	"BA3A-20-ENV"	"BA3A-270-ENV"	"BA4A-150-ac-A"	"BA4A-150-bic-A"	"BA4A-150-ENV"	"BA4A-150-form-A"	"BA4A-20-ac-A"	"BA4A-20-bic-A"	"BA4A-20-ENV"	"BA4A-20-form-A"	"BA4A-270-ac-A"	"BA4A-270-bic-A"	"BA4A-270-ENV"	"BA4A-270-form-A"	"BA4A-270A-D2O-Acet"	"BA4A-270A-D2O-Bic"	"BA4A-270A-D2O-Form"	"BA4A-270A-D2O"	"BA4A-270A-H2O"	"BA4A-270B-D2O-Acet"	"BA4A-270B-D2O-Bic"	"BA4A-270B-D2O-Form"	"BA4A-270B-D2O"	"BA4A-270B-H2O"	"KIT-BLANK_BOX2-2"	"KIT-BLANK-BOX1"	"KIT-BLANK-BOX2-1"	"KIT-BLANK-BOX2-3"	"KIT-BLANK-BOX3-1"	"NTC1"	"NTC2"	"OM23-Filter-Blank"	"SK-Filter-Ctrl-Blank1"	"SK-Filter-Ctrl-Blank2"	"TAC-Inc-Filter-Blank-A"	"taxonomy"
"ASV_1"	9853	11698	4724	16208	11574	18137	3559	18071	18940	28552	9567	18750	19424	23741	25504	20291	21785	19966	20576	16485	17329	18750	23295	19881	19871	19803	21311	17629	22279	25327	11233	8552	12779	18838	17966	6952	18871	24015	29455	6471	19172	24159	21713	6228	23161	24442	21851	14375	23696	21583	14700	17348	18126	15123	21678	4	287	782	0	191	2	2	12	1	0	24097	"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;ASV_1"
"ASV_10"	4	34	3006	7	0	20	4518	4	30	83	5544	3	0	5	1	0	2	0	6	0	0	0	0	3	0	0	0	0	0	0	36	75	27	0	2	6	1	0	1	1	1	1	0	13	1	3	0	0	2	1	0	0	1	1	0	0	1007	0	0	0	0	0	3	1	0	0	"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;NA;ASV_10"
"ASV_100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	449	0	0	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rivibacter;ASV_100"
"ASV_101"	0	2	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	7	1	0	34	36	0	43	12	34	0	9	54	150	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	4	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;ASV_101"
"ASV_102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	463	0	0	0	0	0	0	0	0	"Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptacidiphilus;ASV_102"
"ASV_103"	34	13	183	30	0	0	4	0	11	31	102	0	3	4	6	14	2	8	8	4	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfurisporaceae;Desulfurispora;ASV_103"
"ASV_104"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	428	0	0	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;NA;ASV_104"
"ASV_105"	10	0	6	15	1	1	5	241	93	2	14	19	0	5	2	5	2	2	3	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Zavarziniales;Zavarziniaceae;Zavarzinia;ASV_105"
"ASV_106"	1	1	1	0	3	1	1	0	0	2	1	0	0	2	0	0	0	0	2	0	1	0	1	0	1	1	0	1	3	0	0	1	2	1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	1	0	0	1	0	0	89	33	3	0	30	27	39	82	0	56	33	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;ASV_106"
"ASV_107"	0	0	28	0	0	0	24	1	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	153	0	1	0	85	0	3	0	113	7	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Firmicutes;D8A-2;NA;NA;NA;ASV_107"
