Sample,Year,Area,pH_(input),Pressure,Temperature,HCO3-_(input),SiO2_(input),Cl-_(input),SO4-2_(input),Li+_(input),Na+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Al+3_(input),Mn+2_(input),Al+3,AlO+,AlO2-,AlOH+2,Ca(For)+,Ca(For)2,Ca+2,CaCl+,CaCl2,CaCO3,CaHCO3+,CaHSiO3+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,CO,CO2,CO3-2,formaldehyde,formate,formic-acid,H-oxalate,H+,H2,H2O,H2O2,HAlO2,HCl,HClO,HClO2,HCO3-,HMnO2-,HO2-,HSiO3-,HSO3-,HSO4-,HSO5-,K(For),K(For)2-,K+,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(For)+,Mg(For)2,Mg+2,MgCl+,MgCO3,MgHCO3+,MgHSiO3+,MgOH+,MgSO4,Mn(For)+,Mn(For)2,Mn+2,Mn+3,MnCl+,MnO,MnO2-2,MnO4-,MnO4-2,MnOH+,MnSO4,Na(For),Na(For)2-,Na+,NaCl,NaHSiO3,NaOH,NaSO4-,O2,OH-,oxalate-2,oxalic-acid,S2O5-2,S2O6-2,S2O8-2,SiO2,SO2,SO3-2,SO4-2,pH,akermanite,albite,"albite,high","albite,low",alunite,analcime,"analcime,dehydrated",andalusite,anhydrite,anorthite,anthophyllite,antigorite,aragonite,artinite,bixbyite,boehmite,brucite,calcite,chalcedony,chrysotile,"clinochlore,14a","clinochlore,7a",clinozoisite,coesite,"cordierite,hydrous",corundum,cristobalite,"cristobalite,alpha","cristobalite,beta",diaspore,dickite,diopside,dolomite,enstatite,forsterite,gibbsite,glaucophane,grossular,gypsum,halite,halloysite,hausmannite,huntite,hydromagnesite,jadeite,K-feldspar,kalsilite,kaolinite,kyanite,larnite,laumontite,lawsonite,magnesite,manganosite,margarite,merwinite,"microcline,maximum",Mn(OH)2,monticellite,muscovite,nepheline,nesquehonite,paragonite,pargasite,periclase,phlogopite,portlandite,prehnite,pyrolusite,pyrope,pyrophyllite,quartz,rhodochrosite,"sanidine,high",sepiolite,sillimanite,spinel,sylvite,talc,tremolite,wairakite,wollastonite,zoisite,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,CH4(g),CO(g),CO2(g),H2(g),H2O(g),H2S(g),O2(g),S2(g),SO2(g),Al+3_total,Ca+2_total,Cl-_total,H+_total,HCO3-_total,K+_total,Li+_total,Mg+2_total,Mn+2_total,Na+_total,OH-_total,SiO2_total,SO4-2_total
,,,pH,bar,degC,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,Molarity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,log_activity,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality
BA1B-20,,,7.83,1.0,35.0,0.00094968,3.68e-05,0.001729832,1.84e-05,3.41e-07,0.001383852,4.96e-05,0.000964324,0.00043123,2.52e-06,1.28e-05,-26.2125,-15.0763,-5.6283,-20.477,-42.8459,-82.5738,-3.6991,-6.737,-9.9501,-3.7938,-6.3529,-7.2017,-5.6405,-6.4574,-2.7927,-22.0054,-34.227,-33.0416,-36.0825,-49.8033,-7.8705,-3.5175,-88.7226,-40.5711,-47.2647,-55.073,-10.4517,-40.0522,-4.43112e-05,-20.5375,-9.6097,-13.9984,-24.9785,-42.611,-3.717,-8.9663,-21.5997,-4.533,-48.7084,-13.2535,-36.32,-44.8561,-85.7653,-4.3368,-9.5483,-20.9403,-7.9659,-8.3404,-6.4979,-10.7711,-9.3795,-42.4689,-82.2545,-3.272,-6.1853,-3.7533,-5.9327,-6.5488,-4.1417,-5.9083,-45.7914,-85.318,-6.46,-23.4297,-9.2763,-7.0617,-11.6153,-5.8487,-5.1214,-6.2855,-9.3906,-43.4128,-84.3321,-2.8912,-6.429,-5.7122,-6.3286,-7.0642,-8.9617,-3.2317,-48.9246,-64.2344,,-75.6101,-56.5776,-5.5032,-57.1965,-45.5223,-4.9054,10.4517,-3.70497,-7.90775,-9.6789,-7.90775,,-5.79194,,,-5.89726,-9.96885,21.73483,283.9506,1.68223,3.0721,23.76757,-3.92359,2.77032,1.88513,-2.74179,16.94337,27.4669,22.817,-7.57961,-3.47924,,,-3.11785,-3.11785,-3.70767,-2.80303,-5.93163,5.1364,6.1097,1.80496,4.33422,-1.81056,4.49738,-3.9026,-5.83337,,-9.57462,28.15754,5.79486,3.31043,-7.83023,-5.88415,-5.46686,-7.56953,,,-8.2107,-4.2841,2.0101,-4.55084,,,-5.88345,-1.05794,1.22419,-7.35865,-7.30813,-2.02155,,-0.15701,-4.02011,17.81247,-6.49892,-2.3453,61.44269,-8.56721,,-2.3718,0.22105,-7.48554,11.28365,,-8.6945,,14.97833,27.75255,,-2.27757,-7.63953,1.1720602787e-11,0.0,0.0,0.0049065,0.0034876715638,-0.003487671558,0.0034876715697,0.00572655,0.0069753431277,-132.53888,-46.73949,-6.29059,-36.92814,-1.33604,-133.28949,-6,-217.409,-57.21905,2.53513e-06,0.000433819,0.00174022,,0.000955383,4.98978e-05,3.43048e-07,0.000970115,1.28769e-05,0.00139216,0.00155101,3.7021e-05,1.85105e-05
BA1B-150,,,8.94,1.0,35.0,0.0017344,0.000143287,0.001453304,0.000143764,4.42e-07,0.000819204,3.81e-05,0.000882972,0.000334113,2.35e-06,1.63e-06,-13.2294,-8.6358,-5.7305,-10.7652,-41.8847,-80.7399,-3.6106,-6.7233,-10.011,-6.1039,-5.3917,-8.725,-8.8234,-5.48,-2.8674,-22.0801,-34.3017,-33.1163,-36.1572,-45.6592,-3.7264,-5.9161,-84.5785,-39.6984,-43.1207,-50.0563,-7.1804,-40.0522,-4.17576e-05,-20.5375,-6.4406,-10.8017,-21.7818,-39.4143,-2.8443,-18.2349,-24.8711,-6.1448,-44.5481,-9.0932,-32.1597,-44.0971,-84.1335,-4.4505,-9.7366,-16.8936,-11.3509,-7.565,-6.3837,-10.7316,-12.5367,-41.5089,-80.4218,-3.1848,-6.1728,-6.0647,-4.9727,-8.0734,-7.3258,-4.9321,-44.3733,-83.0271,-5.9146,-19.613,-8.8056,-13.059,-24.1552,-15.1173,-17.6613,-9.0114,-7.9562,-42.7661,-82.8127,-3.1173,-6.7298,-7.55,-9.826,-6.4013,-8.9617,-6.5031,-47.1792,-55.9463,-93.9382,-67.2895,-48.257,-3.8436,-49.7649,-44.6333,-4.0164,7.1804,,-1.3506,-3.12176,-1.3506,-7.727,-1.5748,-7.96901,-0.7533,-4.51904,-5.45233,,,-1.57523,-9.28946,6.85475,0.54502,-6.33211,-1.37232,-0.40178,-5.68388,-2.08796,-6.73786,-5.3552,-1.13923,,-1.83983,-0.77783,-0.77783,-1.36766,1.66558,7.68564,-8.38674,-0.4069,-4.95746,,2.65805,-5.01558,,-4.45514,,4.04265,2.78831,-7.24003,,-3.6131,0.83153,-3.43121,6.04773,-0.40629,,0.98586,0.23242,-1.24905,,1.12447,,0.83223,-9.51435,,8.29426,-5.43102,-5.28068,4.88032,,,-2.77914,,-4.58951,27.61705,,3.82094,-0.03178,-2.39208,-0.76986,,-1.24005,-8.8597,,-2.96889,,-4.80338,-9.0383,-5.41513,1.2162579971e-15,0.0,0.0,0.00458746,0.0032641744022,-0.0032641744022,0.0032641744022,0.00487385,0.0065283488045,-128.39483,-42.59544,-2.14654,-36.92814,-1.33604,-125.85783,-6,-202.54567,-49.78739,2.36411e-06,0.000336119,0.00146203,0.000174041,0.00174481,3.83288e-05,4.44654e-07,0.000888274,1.63979e-06,0.000824123,,0.000144147,0.000144627
BA1B-250,,,8.08,1.0,35.0,0.00238646,0.000245518,0.001252377,0.000214001,4.35e-07,0.000856841,4.84e-05,0.001235298,0.000550836,2.61e-06,5.38e-06,-20.4023,-12.1655,-5.617,-16.1165,-41.6442,-80.3806,-3.489,-6.6703,-10.0268,-4.0419,-5.1512,-6.6851,-6.8802,-5.2109,-2.936,-22.1487,-34.3703,-33.1849,-36.2258,-47.362,-5.4292,-3.9757,-86.2813,-39.5795,-44.8234,-51.6401,-9.002,-40.0522,-4.93374e-05,-20.5375,-8.1487,-12.692,-23.6721,-41.3046,-2.7254,-12.2854,-23.0495,-4.2266,-46.2222,-10.7673,-33.8338,-43.8789,-83.7964,-4.3511,-9.706,-18.4684,-9.43,-7.3183,-6.3946,-10.8111,-10.726,-41.2973,-80.0913,-3.092,-6.1487,-4.0315,-4.7611,-6.0624,-5.4114,-4.6919,-43.7697,-82.3046,-5.4299,-20.9498,-8.3895,-8.9311,-16.3841,-9.1677,-9.8902,-6.705,-7.324,-42.6333,-82.561,-3.1033,-6.7845,-5.6178,-7.9904,-6.2399,-8.9617,-4.6815,-46.9414,-59.3518,-97.2865,-70.6378,-51.6053,-3.747,-53.2606,-44.4859,-3.869,9.002,,-0.76207,-2.53323,-0.76207,,-1.12256,-7.51676,-5.4341,-4.13965,-4.68831,14.70294,184.08325,1.33241,-1.15477,18.49589,-1.86352,-1.0643,1.53532,-0.2655,10.39213,19.84287,15.19297,-1.55489,-1.00295,-8.80857,-6.6569,-0.64155,-0.64155,-1.23138,-0.74296,3.1411,2.46218,5.36766,0.44665,-0.8587,0.2495,12.2375,-3.73016,-4.07578,,-0.50189,20.25002,4.26836,-2.09312,-3.16085,1.54044,-2.99486,1.50319,-5.08709,,2.02241,0.99643,1.61787,-7.18668,-2.92859,,1.54114,-3.69379,-3.92632,4.18609,-5.11505,-2.4138,0.65177,-4.38514,-7.85472,13.73323,,1.61933,50.89932,-8.52199,-0.45103,0.1045,1.02759,-0.06095,10.80294,-5.92084,-8.40895,,13.37969,20.80547,-3.76681,-3.59348,-1.61482,1.0834731549e-12,0.0,0.0,0.00595158,0.0040583708349,-0.0040583708343,0.0040583708354,0.00654898,0.0081167416697,-130.09756,-44.29816,-3.84926,-36.92815,-1.33605,-129.35359,-6,-209.53717,-53.28314,2.62567e-06,0.000554144,0.0012599,,0.00240079,4.86906e-05,4.37612e-07,0.00124272,5.41231e-06,0.000861986,0.000432276,0.000246992,0.000215286
BA4A-20,,,9.22,1.0,35.0,0.00180312,2.15e-05,0.002427371,5.88e-05,5e-07,0.001606888,4.51e-05,0.001195954,0.000119894,2.62e-06,4.97e-07,-14.8714,-9.4122,-5.6414,-11.9744,-42.2986,-81.1108,-4.0675,-6.9605,-10.0286,-6.085,-5.8056,-9.5773,-8.8475,-6.342,-2.6477,-21.8604,-34.082,-32.8966,-35.9375,-46.049,-4.1162,-5.4404,-84.9683,-39.6554,-43.5105,-50.4031,-7.6132,-40.0523,-5.4816e-05,-20.5376,-6.7842,-11.0149,-21.995,-39.6275,-2.8013,-17.4632,-24.4383,-6.5402,-45.386,-9.9311,-32.9976,-43.984,-83.9775,-4.3804,-9.447,-17.6615,-10.8481,-7.9002,-6.3332,-10.4614,-12.0534,-41.3431,-80.213,-3.062,-5.8303,-5.4661,-4.8069,-8.346,-6.7702,-5.2144,-44.8569,-83.4678,-6.4412,-20.5723,-9.1125,-12.7201,-22.9507,-14.3455,-16.4568,-9.1052,-8.888,-42.4337,-82.4374,-2.8279,-6.2207,-7.656,-9.1038,-6.5171,-8.9617,-6.0703,-47.0932,-56.7259,-95.6141,-68.9654,-49.9329,-4.6718,-51.0356,-45.0385,-4.4216,7.6132,,-4.32018,-6.09133,-4.32018,,-3.37662,-9.77081,-2.89019,-5.73456,-8.18074,,,-1.54858,-7.05188,7.81063,0.06046,-4.9385,-1.34567,-1.56956,-3.83858,0.40768,-4.24222,-9.15968,-2.30701,,-2.80893,-1.94561,-1.94561,-2.53544,1.18102,4.38094,-8.75241,0.46378,-4.7316,-9.91114,2.17347,-9.10942,,-5.6707,-9.98162,0.73795,4.22212,-4.68131,,-5.4149,-2.44737,-4.37454,2.74303,-2.54317,,-4.07817,-2.49602,-0.40503,,-2.57305,,-2.44666,-9.03643,,4.04625,-6.06504,-4.43671,0.94162,,,-1.87716,,-7.90945,29.52879,,-1.8193,-1.19956,-2.46375,-4.04875,,-3.37693,-8.43517,,-3.45913,,-9.86737,-9.62982,-9.21961,1.1161644525e-14,0.0,0.0,0.00561789,0.0042677856256,-0.0042677856256,0.0042677856256,0.00576551,0.0085355712511,-128.78463,-42.98523,-2.53633,-36.92815,-1.33605,-127.12857,-6,-205.08713,-51.05812,2.63573e-06,0.000120614,0.00244195,5.53886e-05,0.00181395,4.53708e-05,5.03002e-07,0.00120313,4.99984e-07,0.00161654,,2.16291e-05,5.91531e-05
BA4B-150,,,9.91,1.0,35.0,0.00089179,2.1e-05,0.002366234,0.00052994,5.08e-07,0.001150282,3.19e-05,0.001409372,0.000149612,2.37e-06,2.89e-07,-15.4529,-9.7217,-5.6788,-12.4199,-42.52,-81.636,-3.9851,-6.8906,-9.9712,-6.1704,-6.027,-9.3715,-8.6291,-5.3154,-2.6602,-21.8729,-34.0945,-32.9091,-35.95,-46.4888,-4.556,-5.6081,-85.4081,-39.9592,-43.9503,-51.1466,-7.7492,-40.0522,-4.83776e-05,-20.5375,-6.9577,-11.1634,-22.1435,-39.776,-3.1051,-17.3047,-24.3023,-6.4168,-44.5778,-9.1229,-32.1894,-44.4408,-84.738,-4.5334,-9.6124,-17.0063,-10.8651,-7.1089,-6.3277,-10.4684,-11.9118,-41.5937,-80.7674,-3.0089,-5.7897,-5.5808,-5.0575,-8.1694,-6.581,-4.2171,-45.4103,-84.3249,-6.6908,-20.958,-9.3747,-12.6977,-22.6563,-14.1871,-16.1624,-9.2188,-8.1934,-42.8849,-83.1922,-2.9753,-6.3806,-7.68,-9.1152,-5.7202,-8.9617,-5.9343,-47.7007,-57.6055,-93.9976,-67.3489,-48.3164,-4.6844,-50.3634,-44.0942,-3.4773,7.7492,,-4.63402,-6.40517,-4.63402,,-3.6727,,-3.39712,-4.28699,-8.20569,,,-1.66895,-6.75499,7.87382,-0.18413,-4.48001,-1.46605,-1.58731,-2.49862,2.15769,-2.49221,-8.94724,-2.32476,,-3.29812,-1.96337,-1.96337,-2.55319,0.93643,3.85627,-7.82969,0.18178,-4.29087,-9.01193,1.9289,-8.39714,,-4.22311,,0.21328,4.31691,-5.28656,,-5.71099,-2.7691,-4.66077,2.21836,-3.05011,,-4.13859,-2.52095,-0.56665,,-3.08718,,-2.7684,-9.00482,,3.23534,-6.34337,-4.59831,0.13861,,,-0.82343,,-7.45241,29.65518,,-2.37948,-1.21731,-3.05226,-4.37049,,-3.88387,-8.46587,,-2.15468,,-9.92781,-9.14783,-9.00717,9.0188273516e-15,0.0,0.0,0.00613002,0.0041740846579,-0.0041740846579,0.0041740846579,0.00645274,0.0083481693158,-129.2244,-43.42501,-2.97611,-36.92815,-1.33605,-126.45636,-6,-203.74273,-50.38591,2.38423e-06,0.00015051,0.00238044,9.61741e-06,0.000897145,3.20916e-05,5.1105e-07,0.00141783,2.90735e-07,0.00115719,,2.11261e-05,0.000533122
BA4B-270,,,9.54,1.0,35.0,0.00168654,2.2e-05,0.002545654,0.000439592,3.71e-07,0.001444571,4.15e-05,0.001343339,0.000212025,2.42e-06,4.35e-07,-11.1022,-7.6446,-5.8754,-9.206,-42.2334,-81.2148,-3.833,-6.7075,-9.757,-7.0206,-5.7404,-10.3275,-9.6138,-5.2467,-2.6291,-21.8418,-34.0634,-32.878,-35.9189,-45.2175,-3.2847,-6.6104,-84.1368,-39.8247,-42.6789,-49.7407,-6.6124,-40.0523,-5.76331e-05,-20.5376,-6.0174,-9.9955,-20.9756,-38.6081,-2.9706,-20.5375,-25.4391,-7.5249,-43.5243,-8.0694,-31.1359,-44.1925,-84.3552,-4.4197,-9.4676,-15.8391,-11.8882,-7.0785,-6.4648,-10.5744,-13.1858,-41.4793,-80.5185,-3.029,-5.7787,-6.6032,-4.9431,-9.2976,-7.738,-4.3205,-45.0982,-83.8782,-6.5132,-19.6435,-9.1659,-14.7936,-27.0259,-17.4199,-20.532,-10.178,-8.0991,-42.652,-82.8248,-2.8769,-6.2512,-8.6897,-10.1536,-5.7052,-8.9617,-7.0711,-47.4317,-55.0628,-91.8907,-65.242,-46.2095,-4.6557,-48.1731,-44.1776,-3.5607,6.6124,,-4.65086,-6.42201,-4.65086,-2.20564,-3.73009,,-0.70496,-4.19006,-8.46446,,,-2.86777,,1.96297,1.14168,-7.71428,-2.66487,-1.54677,,,,,-2.28422,,-0.64649,-1.92283,-1.92283,-2.51265,2.26224,6.58894,,-2.45866,-7.4846,,3.25469,,,-4.12621,,2.94595,-4.54936,,,-5.76836,-2.76429,-4.73703,4.95103,-0.35795,,-4.31635,-2.77975,-2.00826,,-0.69434,,-2.76358,,,5.89176,-6.44128,-6.03996,2.77338,,,,,,17.83348,,0.43428,-1.17678,-4.21503,-4.36567,,-1.1917,-9.04851,,,,,,,3.4618141687e-14,0.0,0.0,0.00638067,0.0044989994983,-0.0044989994983,0.0044989994983,0.00715674,0.0089979989966,-127.95307,-42.15366,-1.70476,-36.92816,-1.33606,-124.26608,-6,-199.36215,-48.19562,2.43453e-06,0.000213298,0.00256094,0.000509112,0.00169667,4.17492e-05,3.73228e-07,0.00135141,4.37612e-07,0.00145324,,2.21321e-05,0.000442232
BA3A-20,,,10.32,1.0,35.0,0.00011156,1.75e-05,0.008790304,0.000156367,4.36e-07,0.006664957,0.000171089,0.000100581,0.0028217,1.9e-06,6.69e-07,-29.0929,-16.5877,-5.7709,-22.6729,-43.8405,-85.4716,-2.7906,-5.1443,-7.6731,-4.1039,-7.3475,-6.6826,-4.0476,-4.7289,-2.1084,-21.3211,-33.5427,-32.3573,-35.3982,-52.3908,-10.458,-4.7361,-91.3102,-42.4743,-49.8524,-59.5637,-11.1362,-40.0524,-0.000163251,-20.5377,-10.4368,-13.9986,-24.9787,-42.6112,-5.6202,-10.9287,-20.9153,-4.9224,-48.5729,-13.118,-36.1845,-46.2463,-89.0586,-3.8239,-8.3511,-20.2919,-6.7686,-7.0075,-6.4138,-10.0027,-8.6111,-45.4684,-87.1572,-4.3685,-6.5975,-6.0684,-8.9322,-8.0347,-4.5537,-6.1848,-51.7102,-93.1399,-10.4757,-28.1298,-12.6077,-9.7085,-12.8931,-7.811,-6.3992,-9.6167,-12.5863,-44.6569,-87.4793,-2.2322,-5.0857,-5.4425,-4.9852,-5.5852,-8.9617,-2.5473,-52.7307,-69.4096,,-75.339,-56.3065,-6.577,-57.7454,-44.7023,-4.0854,11.1362,0.07346,,,,,-8.09205,,,-3.45999,,12.31096,250.90537,1.24495,0.19121,16.30344,-5.0898,3.1543,1.44785,-4.25589,15.0673,22.51246,17.86256,-9.19787,-4.99334,,,-4.63194,-4.63194,-5.22177,-3.96924,,5.70359,2.40806,0.67501,3.58842,-2.97694,-5.0066,-1.14343,-3.39644,-8.38122,,16.96135,-4.43551,-9.36371,,-9.90421,-6.45872,,,-7.35834,,-6.43363,-1.25427,-8.2829,,-4.02875,-9.9035,-4.79017,3.30548,,-8.09398,-5.28641,,-2.88668,-3.63596,14.9447,-3.28786,-2.79753,46.51443,,,-3.88589,-7.15953,,3.73451,,,-9.69224,10.07424,23.98284,,-0.58044,-9.2578,7.3755064556e-13,0.0,0.0,0.0152547,0.012391154586,-0.012391154585,0.012391154586,0.0158678,0.024782309171,-135.12663,-49.32701,-8.87811,-36.92826,-1.33616,-133.8385,-6,-218.50678,-57.76794,1.91141e-06,0.00283864,0.00884308,,0.00011223,0.000172116,4.38618e-07,0.000101185,6.73017e-07,0.00670498,0.00349435,1.76051e-05,0.000157306
BA3A-150,,,11.44,1.0,35.0,4.822e-05,1.91e-05,0.009959715,0.000114917,2.06e-07,0.009847957,0.000246229,4.21e-05,0.004503004,1.84e-06,2.75e-08,-30.7634,-17.4345,-5.7939,-23.9316,-44.5777,-87.0989,-2.6376,-4.9474,-7.4323,-4.4292,-8.0847,-6.534,-3.4828,-4.7656,-2.0645,-21.2772,-33.4988,-32.3134,-35.3543,-53.6928,-11.76,-5.2143,-92.6123,-43.3644,-51.1544,-61.7557,-11.5481,-40.0524,-0.000244711,-20.5377,-10.8717,-14.3666,-25.3467,-42.9792,-6.5103,-12.7584,-20.5035,-4.9268,-49.1745,-13.7196,-36.7861,-46.9907,-90.6931,-3.6782,-8.1614,-20.7477,-6.2111,-7.0514,-6.7527,-10.2977,-8.5381,-46.9309,-89.5098,-4.9408,-7.1259,-7.119,-10.3947,-8.6114,-4.7142,-6.9468,-55.6657,-97.9855,-13.541,-31.607,-15.6291,-11.9501,-14.311,-9.6407,-7.8171,-12.2702,-15.8413,-45.3894,-89.102,-2.0746,-4.8842,-5.2893,-4.4158,-5.6173,-8.9617,-2.1355,-54.5109,-72.0136,,-76.5421,-57.5096,-6.9932,-58.7588,-44.8919,-4.275,11.5481,2.00858,,,,,-9.07618,,,-3.51177,,10.09752,247.96468,0.7863,-0.93607,9.98196,-5.70311,3.50867,0.9892,-4.84273,14.95685,21.29742,16.64751,,-5.58018,,,-5.21879,-5.21879,-5.80861,-4.58255,,6.26155,0.46809,0.44266,3.71056,-3.59036,-8.25866,0.00101,-3.44845,-8.09706,,7.47912,-9.33812,,,,-6.8726,,,-5.19087,,-7.4569,-2.73559,,,-0.71647,,-7.95103,4.45029,,-8.49115,-6.76808,,-3.27241,-3.28147,14.42049,-1.91081,-3.03036,33.87145,,,-4.47274,,,1.63059,,,-9.42479,8.79022,23.81474,,0.20988,,1.515282691e-11,0.0,0.0,0.0229127,0.018709537974,-0.018709537966,0.018709537982,0.023999,0.037419075948,-136.42875,-50.62896,-10.18006,-36.92834,-1.33624,-134.85199,-6,-220.53359,-58.78134,1.85105e-06,0.00453004,0.0100195,,4.85096e-05,0.000247708,2.07237e-07,4.23528e-05,2.76651e-08,0.0099071,0.00900616,1.92147e-05,0.000115607
BA3A-270,,,11.72,1.0,35.0,2.988e-05,2.1e-05,0.011022762,4.19e-05,2.11e-07,0.011309491,0.000268981,1.64e-05,0.005866728,2.23e-06,3.59e-08,-31.1948,-17.6108,-5.7152,-24.2355,-44.8972,-87.8248,-2.5507,-4.822,-7.2683,-4.6211,-8.4042,-6.4254,-3.2685,-5.149,-2.026,-21.2387,-33.4603,-32.2749,-35.3158,-54.2266,-12.2938,-5.4932,-93.1462,-43.7708,-51.6883,-62.696,-11.6756,-40.0525,-0.000293548,-20.5378,-10.9206,-14.4556,-25.4357,-43.0682,-6.9167,-12.7901,-20.376,-4.9051,-49.7723,-14.3174,-37.3839,-47.3655,-91.4742,-3.6465,-8.0912,-21.3139,-6.0519,-7.49,-6.7493,-10.2558,-8.4073,-47.8288,-90.814,-5.4323,-7.5789,-7.8893,-11.2926,-9.0812,-5.0782,-7.9085,-56.4862,-99.2124,-13.9551,-32.1486,-16.0047,-12.1092,-14.2151,-9.6723,-7.7212,-12.5569,-16.7256,-45.7422,-89.8612,-2.021,-4.7921,-5.214,-4.2347,-6.0339,-8.9617,-2.008,-55.3237,-73.0814,,-77.7376,-58.7051,-7.0989,-59.4841,-45.3622,-4.7453,11.6756,2.34104,,,,,-9.18796,,,-4.05237,,6.57033,226.88694,0.51559,-2.35602,9.53327,-5.772,3.17516,0.7185,-4.99186,13.65813,19.04483,14.39493,-9.73372,-5.72931,,,-5.36792,-5.36792,-5.95774,-4.65144,,6.11194,-0.88884,-0.03991,2.89455,-3.65932,,0.86216,-3.98919,-7.96714,,6.80609,,,,,-6.86612,,,-4.37583,,-7.41092,-3.82181,,,0.09808,,-8.17544,4.4498,,-8.45373,-7.85451,,-4.48802,-3.61491,13.12831,-1.4288,-2.65136,32.97409,,,-4.62186,,,-0.59842,,,-9.32581,7.19331,21.9186,,0.54283,-9.79365,2.0189908773e-12,0.0,0.0,0.0279333,0.022673206234,-0.022673206233,0.022673206235,0.0294593,0.045346412468,-136.96272,-51.16283,-10.71393,-36.92839,-1.33629,-135.57732,-6,-221.98415,-59.50663,2.24339e-06,0.00590196,0.011089,,3.00594e-05,0.000270596,2.12267e-07,1.64985e-05,3.61156e-08,0.0113774,0.0122886,2.11261e-05,4.21516e-05
