"","depth_m","cond_uscm","temp_C","direction"
"1",0.14,411.8,25.03,"Descending"
"2",0.36,411.2,25.73,"Descending"
"3",0.6,411.2,26.41,"Descending"
"4",0.87,411.5,27.04,"Descending"
"5",1.06,411.3,27.64,"Descending"
"6",1.26,411.4,28.15,"Descending"
"7",1.4,411.2,28.63,"Descending"
"8",1.66,411.1,29.05,"Descending"
"9",2.01,412.1,29.43,"Descending"
"10",2.31,412.7,29.79,"Descending"
"11",2.46,412.6,30.13,"Descending"
"12",2.76,412.6,30.43,"Descending"
"13",3.04,412.8,30.71,"Descending"
"14",3.39,413,30.98,"Descending"
"15",3.76,416.5,31.23,"Descending"
"16",4.04,417.6,31.46,"Descending"
"17",4.24,418,31.65,"Descending"
"18",4.32,418.1,31.83,"Descending"
"19",4.52,418.4,32,"Descending"
"20",4.77,419,32.15,"Descending"
"21",5,419.3,32.29,"Descending"
"22",5.26,419.8,32.42,"Descending"
"23",5.52,426.9,32.54,"Descending"
"24",5.73,430.3,32.64,"Descending"
"25",6.09,433.1,32.75,"Descending"
"26",6.47,434.2,32.84,"Descending"
"27",6.94,436.8,32.93,"Descending"
"28",7.19,437.6,33.01,"Descending"
"29",7.52,438,33.09,"Descending"
"30",7.87,438.2,33.16,"Descending"
"31",8.18,438.1,33.22,"Descending"
"32",8.47,438,33.28,"Descending"
"33",8.73,438.1,33.34,"Descending"
"34",8.94,438.3,33.39,"Descending"
"35",9.15,438.3,33.43,"Descending"
"36",9.39,438.1,33.47,"Descending"
"37",9.6,437.9,33.51,"Descending"
"38",9.79,437.9,33.55,"Descending"
"39",9.87,438,33.58,"Descending"
"40",9.79,438,33.61,"Descending"
"41",9.91,438.1,33.63,"Descending"
"42",10.15,438.4,33.66,"Descending"
"43",10.34,438.4,33.69,"Descending"
"44",10.45,438.7,33.71,"Descending"
"45",10.67,439,33.73,"Descending"
"46",10.9,439.2,33.75,"Descending"
"47",11.13,439.3,33.77,"Descending"
"48",11.41,439.3,33.79,"Descending"
"49",11.79,440.2,33.81,"Descending"
"50",11.88,440.5,33.82,"Descending"
"51",12.13,440.5,33.84,"Descending"
"52",12.42,440.6,33.85,"Descending"
"53",12.66,440.6,33.87,"Descending"
"54",12.94,440.7,33.88,"Descending"
"55",13.2,442.7,33.9,"Descending"
"56",13.43,443.7,33.91,"Descending"
"57",13.67,444.4,33.92,"Descending"
"58",13.94,444.8,33.93,"Descending"
"59",14.2,444.9,33.94,"Descending"
"60",14.3,444.9,33.95,"Descending"
"61",14.29,444.9,33.96,"Descending"
"62",14.3,444.9,33.96,"Descending"
"63",14.39,444.8,33.97,"Descending"
"64",14.3,444.9,33.98,"Descending"
"65",14.37,444.8,33.98,"Descending"
"66",14.66,444.9,33.99,"Descending"
"67",15.01,445.1,34,"Descending"
"68",15.44,444.5,34.01,"Descending"
"69",15.63,445.2,34.01,"Descending"
"70",15.9,445.1,34.02,"Descending"
"71",16.13,445,34.03,"Descending"
"72",16.47,445,34.03,"Descending"
"73",16.55,445.1,34.04,"Descending"
"74",16.88,445.2,34.04,"Descending"
"75",17.23,445.2,34.05,"Descending"
"76",17.47,445.1,34.06,"Descending"
"77",17.68,445.1,34.06,"Descending"
"78",17.91,445.1,34.07,"Descending"
"79",18.13,445,34.07,"Descending"
"80",18.46,445.1,34.08,"Descending"
"81",18.6,445.1,34.08,"Descending"
"82",18.78,445.1,34.08,"Descending"
"83",18.93,445,34.09,"Descending"
"84",18.92,445,34.09,"Descending"
"85",18.94,445,34.09,"Descending"
"86",19.08,445.2,34.09,"Descending"
"87",19.22,445.4,34.1,"Descending"
"88",19.24,445.3,34.09,"Descending"
"89",19.38,445.3,34.1,"Descending"
"90",19.5,445.2,34.1,"Descending"
"91",19.53,445.1,34.1,"Descending"
"92",19.54,445.1,34.1,"Descending"
"93",19.54,445.1,34.11,"Descending"
"94",19.54,445,34.11,"Descending"
"95",19.55,445.1,34.11,"Descending"
"96",19.55,445.1,34.11,"Descending"
"97",19.56,445.1,34.11,"Descending"
"98",19.57,445,34.11,"Descending"
"99",19.57,445,34.11,"Descending"
"100",19.59,445.1,34.11,"Descending"
"101",19.59,445.2,34.11,"Descending"
"102",19.6,445.1,34.11,"Descending"
"103",19.6,445.1,34.11,"Descending"
"104",19.61,445.1,34.11,"Descending"
"105",19.62,445.1,34.11,"Descending"
"106",19.61,445.1,34.11,"Descending"
"107",19.61,445.2,34.12,"Descending"
"108",19.62,445.2,34.11,"Descending"
"109",19.61,445.2,34.11,"Descending"
"110",19.6,445.2,34.11,"Descending"
"111",19.61,445.2,34.12,"Descending"
"112",19.61,445.2,34.11,"Descending"
"113",19.7,445.2,34.12,"Descending"
"114",19.73,445.4,34.12,"Descending"
"115",19.77,445.4,34.12,"Descending"
"116",19.82,445.4,34.12,"Descending"
"117",19.92,445.5,34.12,"Descending"
"118",19.82,445.4,34.12,"Descending"
"119",19.8,445.1,34.12,"Descending"
"120",19.86,445.3,34.12,"Descending"
"121",19.85,445.4,34.12,"Descending"
"122",19.89,445.4,34.13,"Descending"
"123",19.86,445.5,34.13,"Descending"
"124",19.9,445.5,34.13,"Descending"
"125",19.93,445.5,34.13,"Descending"
"126",19.98,445.4,34.13,"Descending"
"127",20.03,445.2,34.13,"Descending"
"128",20.04,445.2,34.13,"Descending"
"129",19.73,445.2,34.13,"Descending"
"130",19.75,445.2,34.13,"Descending"
"131",19.3,445,34.12,"Descending"
"132",19.3,445,34.13,"Descending"
"133",19.36,445.1,34.13,"Descending"
"134",19.16,445.1,34.13,"Descending"
"135",18.95,445,34.13,"Descending"
"136",18.75,445.1,34.12,"Descending"
"137",18.61,445,34.12,"Descending"
"138",18.62,445,34.13,"Descending"
"139",18.61,445,34.13,"Descending"
"140",18.61,445,34.13,"Descending"
"141",18.61,445.1,34.13,"Descending"
"142",18.61,445.1,34.13,"Descending"
"143",18.62,445.2,34.13,"Descending"
"144",18.62,445.2,34.13,"Descending"
"145",18.61,445.2,34.13,"Descending"
"146",18.62,445.2,34.13,"Descending"
"147",18.62,445.2,34.13,"Descending"
"148",18.62,445.2,34.13,"Descending"
"149",18.64,445.2,34.13,"Descending"
"150",18.54,445.2,34.13,"Descending"
"151",18.4,445.1,34.13,"Descending"
"152",18.28,445.1,34.13,"Descending"
"153",18.32,445.1,34.13,"Descending"
"154",18.31,445.1,34.13,"Descending"
"155",18.3,445.1,34.13,"Descending"
"156",18.31,445.3,34.13,"Descending"
"157",18.31,445.2,34.13,"Descending"
"158",18.26,445.2,34.13,"Descending"
"159",18.26,445.2,34.13,"Descending"
"160",18.25,445.3,34.13,"Descending"
"161",18.25,445.3,34.13,"Descending"
"162",18.25,445.3,34.13,"Descending"
"163",18.25,445.4,34.13,"Descending"
"164",18.24,445.4,34.13,"Descending"
"165",18.25,445.4,34.13,"Descending"
"166",18.25,445.4,34.13,"Descending"
"167",18.24,445.4,34.13,"Descending"
"168",18.26,445.4,34.13,"Descending"
"169",18.26,445.3,34.13,"Descending"
"170",18.29,445.3,34.13,"Descending"
"171",18.31,445.3,34.13,"Descending"
"172",18.4,445.3,34.13,"Descending"
"173",18.55,445.2,34.13,"Descending"
"174",18.69,445.3,34.14,"Descending"
"175",18.82,445.2,34.13,"Descending"
"176",19.02,445.2,34.14,"Descending"
"177",19.32,445.2,34.14,"Descending"
"178",19.64,445.3,34.14,"Descending"
"179",19.86,445.7,34.14,"Descending"
"180",20.07,445.3,34.14,"Descending"
"181",20.27,445.3,34.14,"Descending"
"182",20.44,445.3,34.14,"Descending"
"183",20.6,445.3,34.15,"Descending"
"184",20.76,445.2,34.15,"Descending"
"185",20.89,445.1,34.15,"Descending"
"186",21.02,445.2,34.15,"Descending"
"187",21.15,445,34.15,"Descending"
"188",21.21,445.2,34.15,"Descending"
"189",21.22,445.2,34.15,"Descending"
"190",21.2,445.1,34.15,"Descending"
"191",21.21,445.2,34.15,"Descending"
"192",21.22,445.1,34.15,"Descending"
"193",21.22,444.8,34.15,"Descending"
"194",21.22,445.2,34.15,"Descending"
"195",21.22,445.1,34.15,"Descending"
"196",21.22,445,34.15,"Descending"
"197",21.23,445.3,34.15,"Descending"
"198",21.24,445.2,34.15,"Descending"
"199",21.27,445.1,34.15,"Descending"
"200",21.26,445.1,34.16,"Descending"
"201",21.25,445.2,34.15,"Descending"
"202",21.29,445.3,34.15,"Descending"
"203",21.27,445.2,34.16,"Descending"
"204",21.27,445.2,34.15,"Descending"
"205",21.28,445.3,34.15,"Descending"
"206",21.28,445.2,34.15,"Descending"
"207",21.28,445.2,34.15,"Descending"
"208",21.28,445.2,34.15,"Descending"
"209",21.28,445.2,34.15,"Descending"
"210",21.28,445.3,34.15,"Descending"
"211",21.28,445.3,34.15,"Descending"
"212",21.28,445.4,34.15,"Descending"
"213",21.28,445.3,34.15,"Descending"
"214",21.28,445.4,34.15,"Descending"
"215",21.28,445.2,34.15,"Descending"
"216",21.28,445.3,34.15,"Descending"
"217",21.3,445.4,34.15,"Descending"
"218",21.32,445.5,34.15,"Descending"
"219",21.31,445.5,34.15,"Descending"
"220",21.31,445.4,34.15,"Descending"
"221",21.31,445.6,34.15,"Descending"
"222",21.3,445.4,34.15,"Descending"
"223",21.31,445.3,34.15,"Descending"
"224",21.31,445.2,34.15,"Descending"
"225",21.31,445.4,34.15,"Descending"
"226",21.31,445.1,34.15,"Descending"
"227",21.29,444.9,34.15,"Descending"
"228",21.26,445,34.15,"Descending"
"229",21.26,444.9,34.15,"Descending"
"230",21.26,445.3,34.15,"Descending"
"231",21.26,445.3,34.15,"Descending"
"232",21.26,445.3,34.15,"Descending"
"233",21.26,445.4,34.15,"Descending"
"234",21.26,445.3,34.15,"Descending"
"235",21.26,445.4,34.15,"Descending"
"236",21.26,445.3,34.15,"Descending"
"237",21.26,445.3,34.15,"Descending"
"238",21.26,445.4,34.15,"Descending"
"239",21.26,445.4,34.15,"Descending"
"240",21.26,445.3,34.15,"Descending"
"241",21.26,445,34.15,"Descending"
"242",21.26,445.3,34.15,"Descending"
"243",21.26,445,34.15,"Descending"
"244",21.26,444.9,34.15,"Descending"
"245",21.26,444.9,34.15,"Descending"
"246",21.26,445.2,34.15,"Descending"
"247",21.26,445.3,34.15,"Descending"
"248",21.26,445.4,34.15,"Descending"
"249",21.26,445.4,34.15,"Descending"
"250",21.26,445.3,34.14,"Descending"
"251",21.26,445.2,34.15,"Descending"
"252",21.26,445.4,34.15,"Descending"
"253",21.26,445.4,34.15,"Descending"
"254",21.25,445.2,34.14,"Descending"
"255",21.26,445,34.15,"Descending"
"256",21.25,445,34.14,"Descending"
"257",21.26,445.1,34.14,"Descending"
"258",21.25,444.9,34.15,"Descending"
"259",21.29,444.9,34.14,"Descending"
"260",21.43,444.9,34.15,"Descending"
"261",21.6,445.3,34.15,"Descending"
"262",21.78,445.2,34.15,"Descending"
"263",21.91,445.1,34.15,"Descending"
"264",21.98,445.2,34.15,"Descending"
"265",22.18,445.2,34.15,"Descending"
"266",22.4,445.4,34.16,"Descending"
"267",22.68,445.4,34.16,"Descending"
"268",22.85,445,34.16,"Descending"
"269",23.04,445.2,34.16,"Descending"
"270",23.21,445.2,34.16,"Descending"
"271",23.4,445.4,34.16,"Descending"
"272",23.58,445.2,34.16,"Descending"
"273",23.76,445.4,34.16,"Descending"
"274",23.96,445.2,34.17,"Descending"
"275",24.13,445.4,34.17,"Descending"
"276",24.3,445.2,34.17,"Descending"
"277",24.48,445.2,34.17,"Descending"
