"","depth_m","cond_uscm","pH","temp_C","direction"
"1",0.07,370.8,7.06,27.49,"Descending"
"2",0.24,371.6,7.07,28.01,"Descending"
"3",0.44,371.7,7.07,28.49,"Descending"
"4",0.64,371.7,7.06,28.92,"Descending"
"5",0.98,371.3,7.07,29.31,"Descending"
"6",1.25,371.2,7.07,29.68,"Descending"
"7",1.49,371,7.07,30.02,"Descending"
"8",1.75,371.1,7.07,30.31,"Descending"
"9",2.02,371.2,7.07,30.59,"Descending"
"10",2.3,371,7.07,30.85,"Descending"
"11",2.59,371.5,7.07,31.08,"Descending"
"12",2.87,372.1,7.06,31.3,"Descending"
"13",3.16,372.6,7.07,31.5,"Descending"
"14",3.45,373.7,7.06,31.69,"Descending"
"15",3.73,374.9,7.06,31.86,"Descending"
"16",4.06,375.8,7.07,32.02,"Descending"
"17",4.38,376.9,7.07,32.17,"Descending"
"18",4.6,378.4,7.07,32.31,"Descending"
"19",4.88,379.8,7.06,32.44,"Descending"
"20",4.97,381.2,7.06,32.55,"Descending"
"21",5.25,382.2,7.07,32.64,"Descending"
"22",5.36,383.7,7.06,32.74,"Descending"
"23",5.61,384.6,7.07,32.83,"Descending"
"24",5.87,385.8,7.06,32.91,"Descending"
"25",6.2,388,7.06,32.99,"Descending"
"26",6.56,389,7.06,33.07,"Descending"
"27",6.87,390.6,7.06,33.14,"Descending"
"28",7.22,391.9,7.06,33.2,"Descending"
"29",7.44,393.5,7.06,33.27,"Descending"
"30",7.68,394.8,7.07,33.32,"Descending"
"31",7.86,395.7,7.06,33.37,"Descending"
"32",8.12,396.2,7.07,33.41,"Descending"
"33",8.44,397.1,7.07,33.45,"Descending"
"34",8.65,397.5,7.07,33.5,"Descending"
"35",8.92,398.1,7.06,33.53,"Descending"
"36",9.26,398.8,7.06,33.56,"Descending"
"37",9.58,399.4,7.07,33.6,"Descending"
"38",9.86,399.8,7.07,33.63,"Descending"
"39",10.13,400,7.07,33.66,"Descending"
"40",10.34,400.3,7.07,33.69,"Descending"
"41",10.59,400.6,7.06,33.71,"Descending"
"42",10.84,400.8,7.07,33.73,"Descending"
"43",10.84,400.9,7.06,33.75,"Descending"
"44",10.94,400.9,7.06,33.77,"Descending"
"45",11.22,400.9,7.06,33.79,"Descending"
"46",11.4,401,7.06,33.81,"Descending"
"47",11.53,401.2,7.06,33.82,"Descending"
"48",11.86,401.1,7.06,33.84,"Descending"
"49",12.07,401.2,7.06,33.85,"Descending"
"50",12.27,401.2,7.06,33.87,"Descending"
"51",12.55,401.2,7.06,33.88,"Descending"
"52",12.88,401.5,7.06,33.9,"Descending"
"53",13.2,401.4,7.06,33.91,"Descending"
"54",13.5,401.5,7.06,33.92,"Descending"
"55",13.77,401.6,7.07,33.93,"Descending"
"56",14.09,401.7,7.06,33.94,"Descending"
"57",14.39,402.1,7.07,33.95,"Descending"
"58",14.35,402,7.06,33.95,"Descending"
"59",14.75,402.3,7.06,33.96,"Descending"
"60",15.13,402.8,7.06,33.97,"Descending"
"61",15.37,403.2,7.06,33.98,"Descending"
"62",15.59,403.7,7.06,33.98,"Descending"
"63",15.9,404.5,7.06,33.99,"Descending"
"64",16.22,405.6,7.06,33.99,"Descending"
"65",16.58,406.6,7.06,34,"Descending"
"66",16.88,408.4,7.06,34.01,"Descending"
"67",17.14,410.1,7.06,34.01,"Descending"
"68",17.41,412,7.06,34.02,"Descending"
"69",17.76,414.3,7.06,34.02,"Descending"
"70",18.09,416.4,7.06,34.03,"Descending"
"71",18.46,419,7.07,34.03,"Descending"
"72",18.78,422.4,7.06,34.03,"Descending"
"73",19.1,425.1,7.07,34.04,"Descending"
"74",19.45,427.7,7.06,34.04,"Descending"
"75",19.8,431.9,7.06,34.05,"Descending"
"76",19.91,432.5,7.06,34.05,"Descending"
"77",20.13,435.5,7.06,34.05,"Descending"
"78",20.38,437.6,7.06,34.06,"Descending"
"79",20.75,439.5,7.06,34.06,"Descending"
"80",21.12,443.1,7.06,34.06,"Descending"
"81",21.46,444.8,7.06,34.07,"Descending"
"82",21.79,447.4,7.06,34.07,"Descending"
"83",22.09,449.2,7.06,34.07,"Descending"
"84",22.4,450.5,7.06,34.08,"Descending"
"85",22.77,452.5,7.06,34.08,"Descending"
"86",23.19,454,7.06,34.08,"Descending"
"87",23.52,455.2,7.06,34.09,"Descending"
"88",23.82,456.1,7.06,34.09,"Descending"
"89",24.09,456.7,7.06,34.09,"Descending"
"90",24.42,457.7,7.07,34.09,"Descending"
"91",24.72,458.3,7.06,34.09,"Descending"
"92",25.03,459.2,7.06,34.1,"Descending"
"93",25.32,459.9,7.06,34.1,"Descending"
"94",25.67,460.8,7.06,34.1,"Descending"
"95",26,461.9,7.06,34.1,"Descending"
"96",26.33,462.9,7.06,34.1,"Descending"
"97",26.55,463.7,7.06,34.11,"Descending"
"98",26.75,464.8,7.06,34.11,"Descending"
"99",27.05,465.5,7.06,34.11,"Descending"
"100",27.41,466.6,7.06,34.11,"Descending"
"101",27.73,467.8,7.06,34.12,"Descending"
"102",28.06,468.9,7.06,34.12,"Descending"
"103",28.38,471.2,7.06,34.12,"Descending"
"104",28.64,471.6,7.06,34.12,"Descending"
"105",28.8,472.7,7.06,34.13,"Descending"
"106",28.93,472.9,7.06,34.13,"Descending"
"107",28.91,473,7.06,34.13,"Descending"
"108",28.94,473.1,7.06,34.13,"Descending"
"109",29.04,473.4,7.06,34.13,"Descending"
"110",29.23,473.7,7.06,34.13,"Descending"
"111",29.55,474,7.06,34.13,"Descending"
"112",29.81,474.9,7.06,34.13,"Descending"
"113",30.11,475.3,7.06,34.13,"Descending"
"114",30.56,475.7,7.06,34.14,"Descending"
"115",31.05,476.2,7.06,34.14,"Descending"
"116",31.44,476.4,7.06,34.15,"Descending"
"117",31.55,476.6,7.06,34.15,"Descending"
"118",31.42,477.2,7.06,34.15,"Descending"
"119",31.52,476.7,7.06,34.15,"Descending"
"120",31.65,477.2,7.06,34.15,"Descending"
"121",31.8,477.4,7.06,34.16,"Descending"
"122",32.18,477.4,7.06,34.16,"Descending"
"123",32.57,478,7.06,34.16,"Descending"
"124",33,478.3,7.06,34.16,"Descending"
"125",33.29,478.3,7.06,34.17,"Descending"
"126",33.41,478.8,7.06,34.17,"Descending"
"127",33.77,478.7,7.06,34.17,"Descending"
"128",34.05,479,7.06,34.18,"Descending"
"129",34.23,478.8,7.06,34.18,"Descending"
"130",34.24,478.9,7.06,34.18,"Descending"
"131",34.26,478.9,7.06,34.18,"Descending"
"132",34.25,478.9,7.06,34.18,"Descending"
"133",34.27,479,7.06,34.18,"Descending"
"134",34.26,479,7.06,34.18,"Descending"
"135",34.28,479.1,7.06,34.18,"Descending"
"136",34.26,479.1,7.06,34.18,"Descending"
"137",34.26,479.1,7.06,34.18,"Descending"
"138",34.27,479.1,7.06,34.18,"Descending"
"139",34.26,479.2,7.06,34.18,"Descending"
"140",34.26,479.2,7.06,34.18,"Descending"
"141",34.26,479.1,7.06,34.18,"Descending"
"142",34.26,479.2,7.06,34.18,"Descending"
"143",34.25,479.2,7.06,34.18,"Descending"
"144",34.25,479.3,7.06,34.18,"Descending"
"145",34.26,479.3,7.06,34.18,"Descending"
"146",34.24,479.3,7.06,34.18,"Descending"
"147",34.25,479.3,7.06,34.18,"Descending"
"148",34.25,479.3,7.06,34.18,"Descending"
"149",34.2,479.3,7.06,34.18,"Descending"
"150",34.21,479,7.06,34.18,"Descending"
"151",33.89,479.1,7.06,34.18,"Descending"
"152",33.05,479.4,7.06,34.17,"Descending"
"153",33.18,478.6,7.06,34.18,"Descending"
"154",33.45,478.7,7.06,34.18,"Descending"
"155",33.72,478.8,7.06,34.19,"Descending"
"156",34.04,478.8,7.06,34.18,"Descending"
"157",34.35,478.9,7.06,34.18,"Descending"
"158",34.66,479.2,7.06,34.19,"Descending"
"159",34.91,479.2,7.06,34.19,"Descending"
"160",35.22,479.2,7.06,34.19,"Descending"
"161",35.51,479.3,7.06,34.2,"Descending"
"162",35.72,479.4,7.06,34.2,"Descending"
"163",36.06,479.5,7.06,34.21,"Descending"
"164",36.34,479.6,7.06,34.2,"Descending"
"165",36.65,479.6,7.06,34.21,"Descending"
"166",36.94,479.7,7.06,34.21,"Descending"
"167",37.23,479.7,7.06,34.21,"Descending"
"168",37.48,479.9,7.06,34.22,"Descending"
"169",37.76,479.8,7.06,34.22,"Descending"
"170",38,479.8,7.06,34.23,"Descending"
"171",38.24,479.9,7.06,34.23,"Descending"
"172",38.48,480,7.06,34.23,"Descending"
"173",38.71,480,7.06,34.23,"Descending"
"174",38.94,480.1,7.06,34.24,"Descending"
"175",39.16,480.1,7.06,34.24,"Descending"
"176",39.36,480.1,7.06,34.25,"Descending"
"177",39.54,480.2,7.06,34.25,"Descending"
"178",39.74,480.2,7.06,34.25,"Descending"
"179",39.95,480.2,7.06,34.26,"Descending"
"180",40.2,480.1,7.06,34.26,"Descending"
"181",40.26,480.1,7.06,34.26,"Descending"
"182",40.25,480.2,7.06,34.26,"Descending"
"183",40.24,480.2,7.06,34.26,"Descending"
"184",40.25,480.1,7.06,34.26,"Descending"
"185",40.24,480.2,7.06,34.26,"Descending"
"186",40.24,480.2,7.06,34.26,"Descending"
"187",40.24,480.2,7.06,34.26,"Descending"
"188",40.24,480.2,7.06,34.27,"Descending"
"189",40.24,480.2,7.06,34.27,"Descending"
"190",40.24,480.2,7.06,34.27,"Descending"
"191",40.24,480.2,7.06,34.27,"Descending"
"192",40.25,480.2,7.06,34.27,"Descending"
"193",40.24,480.2,7.06,34.27,"Descending"
"194",40.24,480.2,7.06,34.27,"Descending"
"195",40.24,480.3,7.06,34.27,"Descending"
"196",40.25,480.3,7.06,34.27,"Descending"
"197",40.24,480.3,7.06,34.27,"Descending"
"198",40.17,480.6,7.06,34.27,"Descending"
"199",39.91,480.5,7.06,34.27,"Descending"
"200",40.14,480.2,7.06,34.27,"Descending"
"201",40.34,480.3,7.06,34.27,"Descending"
"202",40.53,480.4,7.06,34.27,"Descending"
"203",40.73,480.3,7.06,34.27,"Descending"
"204",40.93,480.4,7.06,34.28,"Descending"
"205",41.15,480.5,7.06,34.28,"Descending"
"206",41.36,480.3,7.06,34.28,"Descending"
"207",41.58,480.4,7.06,34.29,"Descending"
"208",41.81,480.5,7.06,34.29,"Descending"
"209",42.02,480.4,7.06,34.29,"Descending"
"210",42.26,480.4,7.06,34.29,"Descending"
"211",42.48,480.3,7.05,34.3,"Descending"
"212",42.72,480.3,7.06,34.3,"Descending"
"213",42.92,480.3,7.06,34.3,"Descending"
"214",43.13,480.2,7.06,34.31,"Descending"
"215",43.34,480.2,7.06,34.31,"Descending"
"216",43.52,480.2,7.06,34.31,"Descending"
"217",43.53,480.2,7.06,34.32,"Descending"
"218",43.55,480.3,7.06,34.32,"Descending"
"219",43.52,480.2,7.06,34.32,"Descending"
"220",43.54,480.3,7.06,34.32,"Descending"
"221",43.55,480.2,7.05,34.32,"Descending"
"222",43.54,480.3,7.05,34.32,"Descending"
"223",43.54,480.2,7.06,34.32,"Descending"
"224",43.54,480.3,7.06,34.32,"Descending"
"225",43.54,480.2,7.06,34.32,"Descending"
"226",43.54,480.2,7.06,34.32,"Descending"
"227",43.53,480.3,7.06,34.33,"Descending"
"228",43.46,480.4,7.06,34.33,"Descending"
"229",43.12,480.3,7.06,34.32,"Descending"
