"","depth_m","cond_uscm","temp_C","direction"
"1",0.1,540,27.78,"Descending"
"2",0.34,539.6,28.33,"Descending"
"3",0.85,539.4,28.77,"Descending"
"4",1.1,539.7,29.26,"Descending"
"5",1.46,539.8,29.64,"Descending"
"6",1.64,539.7,29.98,"Descending"
"7",1.85,539.9,30.31,"Descending"
"8",1.92,540.9,30.57,"Descending"
"9",2.24,541.5,30.81,"Descending"
"10",2.18,542.7,31.06,"Descending"
"11",2.33,544.4,31.29,"Descending"
"12",2.48,545.2,31.48,"Descending"
"13",2.69,545.8,31.65,"Descending"
"14",2.8,546.4,31.82,"Descending"
"15",3.05,547,31.98,"Descending"
"16",3.25,547.3,32.13,"Descending"
"17",3.48,546.9,32.28,"Descending"
"18",3.69,546.8,32.39,"Descending"
"19",3.91,546.8,32.5,"Descending"
"20",4.15,546.4,32.61,"Descending"
"21",4.35,545.8,32.71,"Descending"
"22",4.59,545,32.79,"Descending"
"23",4.83,544.9,32.88,"Descending"
"24",5.02,544.9,32.96,"Descending"
"25",5.27,544.8,33.03,"Descending"
"26",5.45,544.8,33.09,"Descending"
"27",5.65,544.9,33.15,"Descending"
"28",5.83,545,33.2,"Descending"
"29",6.02,544.9,33.26,"Descending"
"30",6.21,544.9,33.31,"Descending"
"31",6.38,544.9,33.35,"Descending"
"32",6.55,545,33.39,"Descending"
"33",6.65,545.1,33.43,"Descending"
"34",6.84,545.1,33.46,"Descending"
"35",7.11,545.1,33.5,"Descending"
"36",7.26,545.1,33.53,"Descending"
"37",7.46,545.2,33.56,"Descending"
"38",7.75,545.3,33.59,"Descending"
"39",8.05,545.4,33.62,"Descending"
"40",8.31,545.6,33.65,"Descending"
"41",8.55,545.6,33.68,"Descending"
"42",8.81,545.5,33.7,"Descending"
"43",9.13,545.2,33.73,"Descending"
"44",9.43,545.1,33.74,"Descending"
"45",9.67,545.1,33.76,"Descending"
"46",9.99,545.1,33.78,"Descending"
"47",10.26,545.1,33.79,"Descending"
"48",10.51,545.1,33.81,"Descending"
"49",10.79,545.1,33.82,"Descending"
"50",11.05,545.3,33.84,"Descending"
"51",11.38,545.2,33.85,"Descending"
"52",11.68,545.2,33.86,"Descending"
"53",11.86,545,33.87,"Descending"
"54",11.9,545.1,33.88,"Descending"
"55",12.02,545.3,33.89,"Descending"
"56",12.11,545.3,33.9,"Descending"
"57",11.96,545.3,33.91,"Descending"
"58",12.2,545.3,33.92,"Descending"
"59",12.35,545.3,33.92,"Descending"
"60",12.45,545.1,33.93,"Descending"
"61",12.68,545.3,33.94,"Descending"
"62",12.85,545.2,33.94,"Descending"
"63",13.04,545.2,33.95,"Descending"
"64",13.13,545.4,33.95,"Descending"
"65",13.34,545.2,33.96,"Descending"
"66",13.35,545.1,33.96,"Descending"
"67",13.14,545.3,33.96,"Descending"
"68",12.63,545.3,33.96,"Descending"
"69",12.95,545.1,33.97,"Descending"
"70",12.94,545.2,33.97,"Descending"
"71",12.96,545.5,33.97,"Descending"
"72",12.62,545.2,33.98,"Descending"
"73",12.99,545.1,33.98,"Descending"
"74",12.53,545.7,33.98,"Descending"
"75",12.31,545.6,33.98,"Descending"
"76",12.83,545.3,33.99,"Descending"
"77",13.51,545,34,"Descending"
"78",13.53,545.6,34,"Descending"
"79",13.69,545.4,34,"Descending"
"80",13.87,545.4,34,"Descending"
"81",13.9,545.4,34,"Descending"
"82",13.99,545.4,34.01,"Descending"
"83",14.24,545.6,34.01,"Descending"
"84",14.2,545.4,34.01,"Descending"
"85",14.13,545.3,34.01,"Descending"
"86",14.1,545.8,34.01,"Descending"
"87",14.31,545.3,34.01,"Descending"
"88",14.01,545.6,34.01,"Descending"
"89",14.25,545.3,34.02,"Descending"
"90",14.3,545.3,34.02,"Descending"
"91",14.29,545.4,34.02,"Descending"
"92",13.88,545.4,34.02,"Descending"
"93",13.66,545.3,34.02,"Descending"
"94",13.61,545.5,34.01,"Descending"
"95",13.19,545.7,34.01,"Descending"
"96",13.12,545.7,34.02,"Descending"
"97",12.82,545.5,34.01,"Descending"
"98",12.39,545.4,34.01,"Descending"
"99",12.07,545.6,34.01,"Descending"
"100",12.06,545.5,34.01,"Descending"
"101",12.04,545.7,34.01,"Descending"
