cond_uscm,pH,pressure_mbar,temp_C,depth_m,alt_m
0.13,4.68,959.00,31.79,-0.55,461.52
0.17,4.67,958.80,31.79,-0.55,463.26
0.17,4.65,959.30,31.79,-0.55,458.91
0.15,4.66,959.40,31.78,-0.55,458.04
0.21,4.67,959.00,31.77,-0.55,461.52
0.15,4.67,958.80,31.76,-0.55,463.26
0.15,4.66,958.60,31.76,-0.56,465.00
0.15,4.67,959.00,31.75,-0.55,461.52
0.08,4.67,959.80,31.74,-0.54,454.56
0.15,4.67,959.00,31.73,-0.55,461.52
0.17,4.65,958.70,31.73,-0.56,464.13
0.13,4.65,958.70,31.72,-0.56,464.13
0.17,4.65,959.00,31.72,-0.55,461.52
0.11,4.66,959.30,31.71,-0.55,458.91
0.15,4.66,958.90,31.71,-0.55,462.39
0.19,4.67,959.10,31.72,-0.55,460.65
0.11,4.67,959.20,31.72,-0.55,459.78
0.17,4.66,958.90,31.72,-0.55,462.39
0.15,4.67,959.10,31.73,-0.55,460.65
0.15,4.68,958.90,31.73,-0.55,462.39
0.08,4.66,958.80,31.74,-0.55,463.26
0.15,4.67,958.80,31.74,-0.55,463.26
0.19,4.68,958.40,31.74,-0.56,466.74
0.21,4.67,958.30,31.74,-0.56,467.61
0.21,4.68,958.90,31.74,-0.55,462.39
0.21,4.69,958.50,31.74,-0.56,465.87
0.19,4.68,959.10,31.75,-0.55,460.65
0.27,4.70,958.60,31.77,-0.56,465.00
0.25,4.68,958.00,31.77,-0.56,470.22
0.25,4.68,958.70,31.76,-0.56,464.13
0.25,4.68,958.50,31.77,-0.56,465.87
0.27,4.68,958.40,31.76,-0.56,466.74
0.25,4.67,957.90,31.76,-0.56,471.09
0.23,4.68,958.20,31.77,-0.56,468.48
0.30,4.66,958.60,31.76,-0.56,465.00
0.30,4.67,958.30,31.77,-0.56,467.61
0.32,4.66,958.50,31.77,-0.56,465.87
0.25,4.67,958.80,31.77,-0.55,463.26
0.23,4.67,958.40,31.76,-0.56,466.74
0.27,4.67,958.40,31.75,-0.56,466.74
0.30,4.64,958.30,31.75,-0.56,467.61
0.30,4.67,957.70,31.75,-0.57,472.83
0.27,4.68,957.30,31.75,-0.57,476.32
0.25,4.68,957.70,31.74,-0.57,472.83
0.27,4.68,958.00,31.73,-0.56,470.22
0.32,4.67,957.60,31.72,-0.57,473.70
0.25,4.68,957.50,31.71,-0.57,474.58
0.30,4.68,957.40,31.69,-0.57,475.45
0.32,4.67,957.40,31.69,-0.57,475.45
0.23,4.60,958.30,31.67,-0.56,467.61
0.30,4.66,957.80,31.67,-0.56,471.96
0.27,4.67,957.90,31.66,-0.56,471.09
0.25,4.68,957.80,31.66,-0.56,471.96
0.27,4.67,957.90,31.66,-0.56,471.09
0.30,4.67,957.70,31.66,-0.57,472.83
0.27,4.68,957.90,31.66,-0.56,471.09
0.25,4.67,957.50,31.65,-0.57,474.58
0.30,4.67,957.70,31.65,-0.57,472.83
0.32,4.67,957.60,31.65,-0.57,473.70
0.25,4.68,957.70,31.66,-0.57,472.83
0.25,4.68,957.50,31.66,-0.57,474.58
0.30,4.67,957.50,31.65,-0.57,474.58
0.30,4.67,957.80,31.65,-0.56,471.96
0.27,4.67,958.10,31.65,-0.56,469.35
0.32,4.67,957.90,31.64,-0.56,471.09
0.27,4.67,957.80,31.64,-0.56,471.96
0.30,4.67,957.50,31.63,-0.57,474.58
0.32,4.67,957.80,31.64,-0.56,471.96
0.27,4.68,958.00,31.65,-0.56,470.22
0.30,4.68,959.40,31.65,-0.55,458.04
0.27,4.67,957.80,31.68,-0.56,471.96
0.27,4.67,958.10,31.67,-0.56,469.35
0.30,4.67,959.20,31.65,-0.55,459.78
0.34,4.67,959.00,31.67,-0.55,461.52
0.34,4.67,959.20,31.69,-0.55,459.78
0.25,4.67,959.30,31.70,-0.55,458.91
0.32,4.67,959.80,31.72,-0.54,454.56
0.27,4.67,959.80,31.73,-0.54,454.56
0.27,4.68,960.20,31.75,-0.54,451.08
0.30,4.67,958.20,31.76,-0.56,468.48
0.27,4.67,958.00,31.75,-0.56,470.22
0.25,4.67,957.90,31.73,-0.56,471.09
0.30,4.67,958.10,31.72,-0.56,469.35
0.30,4.67,957.80,31.71,-0.56,471.96
0.27,4.67,957.60,31.70,-0.57,473.70
0.32,4.67,958.00,31.68,-0.56,470.22
0.27,4.67,957.80,31.67,-0.56,471.96
0.32,4.67,957.10,31.64,-0.57,478.06
0.25,4.67,958.10,31.67,-0.56,469.35
0.30,4.67,958.00,31.66,-0.56,470.22
0.34,4.67,958.40,31.67,-0.56,466.74
0.30,4.67,957.80,31.67,-0.56,471.96
0.32,4.67,958.10,31.63,-0.56,469.35
0.34,4.67,957.90,31.60,-0.56,471.09
0.27,4.68,958.00,31.58,-0.56,470.22
0.27,4.67,957.70,31.55,-0.57,472.83
0.30,4.67,958.00,31.54,-0.56,470.22
0.34,4.67,957.50,31.52,-0.57,474.58
0.30,4.67,958.20,31.51,-0.56,468.48
0.27,4.67,957.90,31.49,-0.56,471.09
0.32,4.67,957.70,31.51,-0.57,472.83
0.30,4.67,958.00,31.47,-0.56,470.22
0.32,4.67,958.50,31.53,-0.56,465.87
0.30,4.67,958.10,31.54,-0.56,469.35
0.27,4.67,957.30,31.55,-0.57,476.32
0.30,4.67,957.40,31.56,-0.57,475.45
0.27,4.67,957.40,31.58,-0.57,475.45
0.32,4.68,958.10,31.61,-0.56,469.35
0.32,4.67,957.00,31.55,-0.57,478.93
0.30,4.67,957.90,31.57,-0.56,471.09
0.32,4.67,958.20,31.55,-0.56,468.48
0.27,4.67,958.30,31.53,-0.56,467.61
0.32,4.67,958.20,31.52,-0.56,468.48
0.30,4.67,958.10,31.51,-0.56,469.35
0.30,4.67,958.10,31.49,-0.56,469.35
0.32,4.67,958.20,31.49,-0.56,468.48
0.32,4.67,958.10,31.49,-0.56,469.35
0.27,4.67,958.20,31.50,-0.56,468.48
0.32,4.67,958.00,31.50,-0.56,470.22
0.30,4.68,957.30,31.48,-0.57,476.32
0.27,4.67,958.10,31.55,-0.56,469.35
0.32,4.68,958.20,31.55,-0.56,468.48
0.34,4.67,957.90,31.54,-0.56,471.09
0.34,4.68,958.10,31.54,-0.56,469.35
0.27,4.67,958.00,31.54,-0.56,470.22
0.30,4.68,958.60,31.57,-0.56,465.00
0.32,4.68,958.00,31.58,-0.56,470.22
0.30,4.68,958.00,31.59,-0.56,470.22
0.32,4.68,958.20,31.60,-0.56,468.48
0.34,4.69,957.90,31.62,-0.56,471.09
0.32,4.68,958.10,31.63,-0.56,469.35
0.32,4.68,958.30,31.66,-0.56,467.61
