"","depth_m","cond_uscm","pH","temp_C","direction"
"1",0.1,581.3,8.76,32.37,"Descending"
"2",0.29,578.8,8.81,32.44,"Descending"
"3",0.5,576.5,8.75,32.52,"Descending"
"4",0.73,575.8,8.7,32.61,"Descending"
"5",1,575.9,8.72,32.7,"Descending"
"6",1.01,575.9,8.78,32.8,"Descending"
"7",1.25,575.9,8.75,32.89,"Descending"
"8",1.52,575.9,8.76,32.97,"Descending"
"9",1.76,575.6,8.78,33.04,"Descending"
"10",2.02,576.2,8.76,33.11,"Descending"
"11",2.29,576.3,8.75,33.17,"Descending"
"12",2.56,576.5,8.75,33.22,"Descending"
"13",2.81,576.3,8.73,33.28,"Descending"
"14",3.07,576,8.76,33.32,"Descending"
"15",3.26,576,8.73,33.37,"Descending"
"16",3.37,575.7,8.73,33.41,"Descending"
"17",3.32,576.2,8.72,33.43,"Descending"
"18",3.37,576.6,8.71,33.46,"Descending"
"19",3.43,576.7,8.74,33.49,"Descending"
"20",3.59,575.2,8.72,33.52,"Descending"
"21",3.75,575.3,8.7,33.55,"Descending"
"22",3.9,575.4,8.69,33.57,"Descending"
"23",4.09,576.3,8.67,33.59,"Descending"
"24",4.3,577.6,8.68,33.62,"Descending"
"25",4.55,577.2,8.67,33.64,"Descending"
"26",4.81,575.5,8.7,33.66,"Descending"
"27",5.02,574.1,8.72,33.67,"Descending"
"28",5.27,573.5,8.72,33.69,"Descending"
"29",5.51,573.5,8.72,33.7,"Descending"
"30",5.69,573.7,8.72,33.71,"Descending"
"31",5.87,574.2,8.73,33.72,"Descending"
"32",6.09,574.5,8.73,33.73,"Descending"
"33",6.25,573.7,8.7,33.74,"Descending"
"34",6.49,572.7,8.7,33.75,"Descending"
"35",6.75,570.6,8.74,33.76,"Descending"
"36",7,569.4,8.74,33.76,"Descending"
"37",7.22,569.3,8.74,33.77,"Descending"
"38",7.42,569.1,8.73,33.78,"Descending"
"39",7.63,568.8,8.74,33.78,"Descending"
"40",7.9,568.3,8.74,33.79,"Descending"
"41",8.11,567.8,8.75,33.79,"Descending"
"42",8.4,566.7,8.75,33.8,"Descending"
"43",8.66,566.4,8.73,33.8,"Descending"
"44",8.89,565.9,8.72,33.81,"Descending"
"45",9.1,565.3,8.71,33.81,"Descending"
"46",9.32,564.8,8.72,33.82,"Descending"
"47",9.56,564.2,8.69,33.82,"Descending"
"48",9.77,563.5,8.73,33.82,"Descending"
"49",9.98,562.4,8.74,33.83,"Descending"
"50",10.2,562.2,8.74,33.83,"Descending"
"51",10.42,560.9,8.75,33.84,"Descending"
"52",10.64,560.2,8.75,33.84,"Descending"
"53",10.86,559.1,8.74,33.84,"Descending"
"54",11.1,557.7,8.74,33.85,"Descending"
"55",11.32,556.9,8.75,33.85,"Descending"
"56",11.41,555.8,8.73,33.85,"Descending"
"57",11.61,554.6,8.78,33.85,"Descending"
"58",11.9,553.3,8.76,33.85,"Descending"
"59",12.14,552.3,8.76,33.86,"Descending"
"60",12.35,550.8,8.76,33.86,"Descending"
"61",12.56,549.1,8.78,33.87,"Descending"
"62",12.77,548.2,8.78,33.87,"Descending"
"63",12.99,547.6,8.78,33.87,"Descending"
"64",13.17,547,8.76,33.87,"Descending"
"65",13.4,546,8.78,33.88,"Descending"
"66",13.63,544.7,8.79,33.88,"Descending"
"67",13.88,543.5,8.79,33.88,"Descending"
"68",14.14,543.1,8.8,33.89,"Descending"
"69",14.41,542.1,8.8,33.89,"Descending"
"70",14.67,540.3,8.8,33.89,"Descending"
"71",14.93,539.4,8.8,33.89,"Descending"
"72",15.18,538.3,8.8,33.9,"Descending"
"73",15.45,537.5,8.8,33.9,"Descending"
"74",15.72,536.3,8.8,33.9,"Descending"
"75",15.97,535.2,8.79,33.9,"Descending"
"76",15.95,534.4,8.78,33.91,"Descending"
"77",16.14,534,8.8,33.91,"Descending"
"78",16.41,532.6,8.79,33.91,"Descending"
"79",16.61,531.8,8.78,33.91,"Descending"
"80",16.86,530.3,8.78,33.91,"Descending"
"81",17.06,529.4,8.8,33.91,"Descending"
"82",17.31,528.8,8.79,33.92,"Descending"
"83",17.58,527.8,8.79,33.92,"Descending"
"84",17.8,526.9,8.79,33.92,"Descending"
