"","depth_m","cond_uscm","pH","temp_C","direction"
"1",0.05,695.1,8,31.85,"Descending"
"2",0.39,695.2,8.11,32.02,"Descending"
"3",0.58,695.5,8.13,32.2,"Descending"
"4",0.78,695.5,8.18,32.37,"Descending"
"5",1.14,695.6,8.2,32.54,"Descending"
"6",1.41,695.4,8.26,32.7,"Descending"
"7",1.6,695.8,8.25,32.84,"Descending"
"8",1.78,695.7,8.26,32.98,"Descending"
"9",1.93,695.9,8.26,33.11,"Descending"
"10",1.98,696,8.25,33.23,"Descending"
"11",2.04,695.8,8.27,33.34,"Descending"
"12",2.09,696,8.3,33.44,"Descending"
"13",2.11,696.3,8.29,33.53,"Descending"
"14",2.19,696.3,8.32,33.62,"Descending"
"15",2.3,696.4,8.33,33.7,"Descending"
"16",2.4,696.4,8.33,33.77,"Descending"
"17",2.49,696.4,8.34,33.84,"Descending"
"18",2.58,696.7,8.35,33.9,"Descending"
"19",2.64,696.7,8.35,33.96,"Descending"
"20",2.69,696.6,8.35,34.02,"Descending"
"21",2.76,696.7,8.35,34.08,"Descending"
"22",2.85,696.9,8.35,34.13,"Descending"
"23",2.95,697.3,8.38,34.17,"Descending"
"24",3.09,697.9,8.4,34.22,"Descending"
"25",3.22,698,8.39,34.26,"Descending"
"26",3.42,698.3,8.41,34.31,"Descending"
"27",3.49,698.3,8.36,34.34,"Descending"
"28",3.57,698.3,8.35,34.38,"Descending"
"29",3.65,698.3,8.32,34.41,"Descending"
"30",3.75,698.5,8.3,34.44,"Descending"
"31",3.91,698.6,8.32,34.48,"Descending"
"32",4.03,698.8,8.35,34.51,"Descending"
"33",4.11,698.7,8.35,34.53,"Descending"
"34",4.22,698.9,8.34,34.56,"Descending"
"35",4.31,698.9,8.35,34.58,"Descending"
"36",4.39,698.9,8.36,34.6,"Descending"
"37",4.52,699.1,8.35,34.63,"Descending"
"38",4.64,699.2,8.36,34.64,"Descending"
"39",4.74,699.4,8.36,34.66,"Descending"
"40",4.83,699.4,8.37,34.68,"Descending"
"41",4.95,699.4,8.37,34.7,"Descending"
"42",5.05,699.3,8.36,34.71,"Descending"
"43",5.21,699.6,8.36,34.73,"Descending"
"44",5.29,699.6,8.37,34.74,"Descending"
"45",5.34,699.6,8.38,34.76,"Descending"
"46",5.38,699.6,8.37,34.77,"Descending"
"47",5.47,699.6,8.36,34.78,"Descending"
"48",5.54,699.5,8.38,34.79,"Descending"
"49",5.6,699.6,8.38,34.8,"Descending"
"50",5.68,699.6,8.38,34.81,"Descending"
"51",5.76,699.9,8.38,34.82,"Descending"
"52",5.83,699.9,8.38,34.83,"Descending"
"53",5.89,699.9,8.38,34.83,"Descending"
"54",5.96,699.9,8.38,34.84,"Descending"
"55",6.01,699.9,8.38,34.85,"Descending"
"56",6.07,699.9,8.38,34.86,"Descending"
"57",6.13,699.9,8.39,34.86,"Descending"
