,Hole,Depth,Cell,Invisible Blue
0,,(mbs),abundance,particle
1,,,(cells/g),abundance
2,,,,(beads/g)
3,,,,
4,BA3A,50,4.09E+03,1.78E+04
5,BA3A,60,1.54E+04,6.32E+03
6,BA3A,40,4.55E+03,4.79E+02
7,BA3A,80,5.42E+04,3.10E+04
8,BA3A,90,8.64E+03,1.73E+03
9,BA3A,100,n.a.,9.44E+02
10,BA3A,110,n.a.,1.93E+04
11,BA3A,120,1.14E+04,2.57E+04
12,BA3A,130,2.10E+04,1.05E+05
13,BA3A,140,2.37E+04,2.84E+04
14,BA3A,150,4.13E+04,9.91E+04
15,BA3A,160,2.66E+04,7.31E+04
16,BA3A,170,3.30E+04,8.31E+04
17,BA3A,180,4.92E+04,6.76E+04
18,BA3A,190,6.14E+03,5.53E+03
19,BA3A,200,1.89E+03,1.32E+04
20,BA3A,210,3.27E+04,7.54E+05
21,BA3A,220,7.38E+03,2.73E+04
22,BA3A,240,5.33E+03,8.52E+02
23,BA3A,250,9.32E+03,6.99E+03
24,BA3A,260,1.74E+04,1.20E+05
25,BA3A,270,1.12E+04,1.35E+04
26,BA3A,280,1.25E+03,8.25E+03
27,BA3A,290,4.74E+04,1.45E+05
28,BA3A,300,9.51E+03,2.38E+03
