,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
0,CH4,3.105,23.7893,2.894,0.0009,data/gc_data/2023-06-01/01JUN23_TAC_FID_58.RES,BA3A-270-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.094,5706.0754,709.877,0.2067,data/gc_data/2023-06-01/01JUN23_TAC_FID_48.RES,BA4A-270-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.090,3372.0825,448.478,0.1222,data/gc_data/2023-06-01/01JUN23_TAC_FID_49.RES,BA4A-270-FORM-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.100,1263.8301,183.380,0.0458,data/gc_data/2023-06-01/01JUN23_TAC_FID_06.RES,BA1B-20-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.924,14.4970,1.778,0.0019,data/gc_data/2023-06-01/01JUN23_TAC_FID_06.RES,BA1B-20-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.109,3744.6416,539.778,0.1357,data/gc_data/2023-06-01/01JUN23_TAC_FID_12.RES,BA1B-250-FORM-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.100,1397.6195,196.312,0.0506,data/gc_data/2023-06-01/01JUN23_TAC_FID_13.RES,BA1B-250-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.922,12.7110,1.500,0.0016,data/gc_data/2023-06-01/01JUN23_TAC_FID_13.RES,BA1B-250-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.100,1602.5616,232.097,0.0581,data/gc_data/2023-06-01/01JUN23_TAC_FID_07.RES,BA1B-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.922,11.7936,1.428,0.0015,data/gc_data/2023-06-01/01JUN23_TAC_FID_07.RES,BA1B-20-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.070,13799.1593,1728.093,0.5000,data/gc_data/2023-06-01/01JUN23_TAC_FID_39.RES,BA1B-250-BIC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.099,7477.2618,1080.181,0.2709,data/gc_data/2023-06-01/01JUN23_TAC_FID_11.RES,BA1B-250-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.933,10.3565,1.287,0.0013,data/gc_data/2023-06-01/01JUN23_TAC_FID_11.RES,BA1B-250-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.094,5769.2093,834.600,0.2090,data/gc_data/2023-06-01/01JUN23_TAC_FID_05.RES,BA1B-20-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.550,338.8308,52.947,0.0130,data/gc_data/2023-06-01/01JUN23_TAC_FID_04.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.096,338.2613,48.741,0.0123,data/gc_data/2023-06-01/01JUN23_TAC_FID_04.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.920,319.5661,39.179,0.0409,data/gc_data/2023-06-01/01JUN23_TAC_FID_04.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.125,946.8579,135.707,0.0343,data/gc_data/2023-06-01/01JUN23_TAC_FID_10.RES,BA1B-150-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.941,16.6996,1.983,0.0021,data/gc_data/2023-06-01/01JUN23_TAC_FID_10.RES,BA1B-150-AC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.096,4824.7231,649.067,0.1748,data/gc_data/2023-06-01/01JUN23_TAC_FID_38.RES,BA1B-150-AC-0.5ml-BT2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.068,1713.0924,233.512,0.0621,data/gc_data/2023-06-01/01JUN23_TAC_FID_14.RES,BA4A-20-BIC-0.5ml-T2,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
