Group	ROI	12C	13C	14N_12C	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2905.375	31.9375	1446.0	10478.0	0.010873034449007384	16.0	5.654620339080162	3.4946772126851653
red	2	2075.5949367088606	21.354430379746834	4020.240506329114	5369.7468354430375	0.01018356986339408	79.0	13.794299514556672	7.372237912170376
red	3	1733.514403292181	17.530864197530864	3354.650205761317	5756.748971193416	0.010011656764683763	243.0	44.595387771199306	8.642100039010671
red	4	695.578947368421	6.7894736842105265	591.7368421052631	5576.508771929824	0.009666541775946048	57.0	11.345607984111174	6.427557727334433
red	5	592.4666666666667	6.155555555555556	119.02222222222223	5512.944444444444	0.010282871779642141	90.0	17.36872277993402	6.608229987046618
red	6	1963.7196765498652	19.88679245283019	3737.5714285714284	6014.994609164421	0.010025573501395536	371.0	65.80992207236729	7.688788360545301
red	7	342.6029411764706	3.5980392156862746	705.6323529411765	8230.10294117647	0.010392920353982302	204.0	36.622914681155876	10.814543634061714
red	8	6055.433070866142	64.40551181102362	7676.417322834645	7261.295275590551	0.01052405401562879	254.0	24.307695617920846	13.429815344766457
red	9	3805.836363636364	38.88181818181818	2471.5272727272727	5982.063636363637	0.010113047652150885	110.0	18.446443859969268	8.26741776640734
red	10	364.65734265734267	3.965034965034965	427.5699300699301	6859.965034965035	0.010756359911217346	286.0	56.16696609500251	9.19998438742984
red	11	307.96590909090907	3.2613636363636362	399.09090909090907	6273.761363636364	0.010479041916167664	88.0	17.71730157004776	6.421499422101446
red	12	537.0813953488372	5.627906976744186	911.8720930232558	6497.186046511628	0.010370021211407024	86.0	15.804681289532242	7.267956417982421
red	13	684.5	6.384615384615385	645.474358974359	5133.589743589743	0.009241218059344207	78.0	13.876164128674972	7.462666099551161
