Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	4315.510948905109	50.386861313868614	3728.2408759124087	4.846715328467154	21.153284671532848	3048.2773722627735	0.011541007944787738	137.0	37.15091889738754	5.136691641395439
red	2	4902.95575221239	964.6283185840708	4962.3185840707965	48.017699115044245	463.8938053097345	4762.2477876106195	0.16439957347779988	113.0	21.141532157958967	6.946580266577209
red	3	5164.725490196079	379.96078431372547	5042.862745098039	72.90196078431373	752.3137254901961	4854.921568627451	0.06852701226045782	51.0	12.30920481770115	5.526543653388354
red	4	3116.5555555555557	32.68518518518518	3229.1944444444443	6.935185185185185	19.925925925925927	3501.75	0.01037875090409799	108.0	28.00915873731172	5.231675520185987
red	5	2249.591836734694	28.653061224489797	1974.6938775510205	25.102040816326532	782.9795918367347	3963.3469387755104	0.012576813515595607	49.0	12.455174839385839	5.310890947926853
red	6	2094.9150943396226	22.735849056603772	2656.9056603773583	7.132075471698113	18.028301886792452	2764.6132075471696	0.010736353471049712	106.0	28.15057566614083	5.408685869017252
red	7	7157.79381443299	1534.0618556701031	11501.783505154639	51.50515463917526	889.1340206185567	5353.3917525773195	0.1764941703929499	97.0	17.52302140038811	7.168110782544263
red	8	1978.4545454545455	23.045454545454547	1754.0	13.772727272727273	92.27272727272727	4344.136363636364	0.011514091703949311	22.0	6.005960538612905	4.606266840617432
red	9	4247.344086021505	2662.8817204301076	5121.204301075269	50.24731182795699	545.247311827957	5413.591397849463	0.3853537923382987	93.0	16.122239994038928	7.539947512514969
red	10	891.3774834437086	9.821192052980132	929.4238410596026	6.337748344370861	16.337748344370862	2679.860927152318	0.010897921091114851	151.0	42.45777902021589	4.853581581488952
red	11	1934.6	22.42222222222222	1671.8444444444444	8.333333333333334	19.0	3773.0222222222224	0.011457316103831218	45.0	11.571839326531286	5.077054777942418
red	12	1660.8444444444444	16.066666666666666	2393.488888888889	6.288888888888889	30.22222222222222	3206.911111111111	0.009581108122076304	45.0	12.64704024487454	4.648326682340462
red	13	2671.282894736842	27.29605263157895	3229.6118421052633	7.842105263157895	30.513157894736842	3133.4868421052633	0.01011497279269791	152.0	41.93913623516425	5.006172233911879
red	14	6015.041176470589	66.22941176470589	6413.247058823529	7.161764705882353	110.53823529411764	4244.255882352942	0.01089071943169771	340.0	87.64232715789414	6.25210268041914
red	15	2043.3030303030303	29.484848484848484	1514.030303030303	12.787878787878787	21.242424242424242	3727.6060606060605	0.014224730271044705	33.0	8.237957289201148	5.112523471690742
red	16	2094.2	29.5	1722.95	7.666666666666667	20.95	3211.75	0.013890850873475538	60.0	15.735891180462886	5.330786462820094
red	17	5124.9737991266375	63.09170305676856	5840.794759825328	9.096069868995633	117.55021834061135	3867.6200873362445	0.012160930317902947	229.0	58.64793103950773	6.482071873962536
red	18	1126.6904761904761	14.011904761904763	1137.4880952380952	18.61904761904762	36.976190476190474	3358.7976190476193	0.012283576326198354	84.0	23.497090761017112	4.798442222637361
red	19	7946.6557377049185	1529.2568306010928	9599.196721311475	102.25136612021858	851.3715846994536	6000.732240437159	0.16138359441136918	183.0	33.36494294996548	7.876383214816408
red	20	2893.909090909091	32.54545454545455	2145.060606060606	83.21212121212122	280.24242424242425	4200.515151515152	0.011121120810164331	33.0	8.372143871642557	4.996688381265986
red	21	2087.073529411765	35.5735294117647	1223.4264705882354	12.529411764705882	83.38235294117646	3578.1176470588234	0.01675904115283359	68.0	18.323254030805877	5.041580235673054
red	22	7567.298245614035	1025.9005847953217	10590.146198830409	47.05263157894737	649.3567251461989	4826.438596491228	0.11938517949391501	171.0	33.17912490945292	7.132390022603582
red	23	6097.58	69.42	7583.14	56.76	652.04	5116.88	0.011256688827630939	50.0	9.906850135121951	6.61524908074021
red	24	3238.0169491525426	61.83050847457627	3868.2203389830506	12.796610169491526	507.2881355932203	3860.4576271186443	0.01873738385441546	59.0	15.840351905688365	5.042502447709157
red	25	6876.130177514793	1405.7041420118344	11603.337278106508	55.349112426035504	921.2662721893491	5261.254437869822	0.169733429549238	169.0	30.117849209926025	7.509670376559809
red	26	2545.7090909090907	34.836363636363636	2614.836363636364	25.427272727272726	58.04545454545455	3263.690909090909	0.01349961248502783	110.0	30.162263947601	4.859325073178299
red	27	5317.619718309859	60.86267605633803	5092.577464788732	6.529929577464789	25.306338028169016	3779.830985915493	0.011315957103455409	568.0	148.535214679069	6.214458814598006
red	28	1872.4848484848485	49.292929292929294	2636.4646464646466	6.282828282828283	41.23232323232323	3046.252525252525	0.025649650996552014	99.0	26.59493481684865	5.731726858135923
red	29	873.8181818181819	9.666666666666666	1263.6060606060605	3.8181818181818183	25.060606060606062	3013.6666666666665	0.010941519464928828	33.0	8.972584654515398	4.660718080826325
red	30	772.4071428571428	11.192857142857143	788.3785714285714	3.007142857142857	11.07857142857143	2989.092857142857	0.01428389119813316	140.0	38.42864802256211	5.025144016097803
red	31	1458.6857142857143	15.6	2005.0285714285715	22.02857142857143	29.742857142857144	3411.057142857143	0.01058139534883721	35.0	9.583600591402456	4.750886889316847
red	32	1190.7222222222222	15.38888888888889	1231.9074074074074	4.37037037037037	25.962962962962962	3222.9444444444443	0.012759097190234915	54.0	15.445451427742794	4.625379383968262
red	33	1767.71875	574.46875	2296.78125	15.375	486.96875	3882.09375	0.24527018012008006	32.0	6.324555320336759	6.324555320336759
red	34	3827.2425742574255	42.272277227722775	3463.4950495049507	5.851485148514851	27.663366336633665	3825.7178217821784	0.01092443855371129	202.0	54.967568225909744	5.140666985333888
red	35	1739.4333333333334	19.166666666666668	1835.4666666666667	4.266666666666667	21.566666666666666	3263.233333333333	0.01089882103188142	30.0	7.997260833976845	4.784168015212719
red	36	1719.0515463917525	20.7319587628866	1197.4948453608247	7.670103092783505	23.5979381443299	3543.1546391752577	0.011916401495623938	97.0	27.335985994620952	4.74149556712855
red	37	1787.9856115107914	27.848920863309353	1606.8776978417266	5.431654676258993	27.302158273381295	2900.568345323741	0.015336706272954545	139.0	36.65036079936544	5.107159232724158
red	38	5650.632075471698	1114.0566037735848	8702.801886792453	42.216981132075475	711.5566037735849	4358.8490566037735	0.16468704719429558	106.0	19.846968957368997	6.952434268021176
red	39	5925.253012048192	1173.6265060240964	9162.43373493976	56.91566265060241	696.566265060241	5019.795180722892	0.16532559864360064	83.0	15.096676045204902	7.162856557356906
red	40	3073.769230769231	36.02958579881657	2812.3491124260354	6.491124260355029	21.2603550295858	3326.8994082840236	0.011585825297399325	169.0	44.389514763735065	5.564146469384411
red	41	2579.4473684210525	578.421052631579	4202.4473684210525	19.236842105263158	972.578947368421	3747.657894736842	0.18316819306827556	38.0	7.455128930368747	6.407232755171875
red	42	2072.9397590361446	28.674698795180724	2371.590361445783	25.698795180722893	790.9879518072289	3581.2048192771085	0.013644129011545915	83.0	17.27433357950852	6.355058909938909
red	43	8273.449367088608	1725.240506329114	8150.848101265823	177.72784810126583	926.6455696202531	6734.53164556962	0.1725466564290385	158.0	25.789834668935434	8.076045727584305
red	44	7557.966480446928	1432.6983240223465	10838.737430167597	83.3072625698324	784.463687150838	5989.17877094972	0.15935399163253752	179.0	33.057845577449726	7.1550733737549574
red	45	5226.462809917355	999.99173553719	7478.1322314049585	36.01652892561984	552.3305785123966	4316.409090909091	0.16060371568394521	242.0	46.01633823509376	7.0378534240438135
red	46	3144.075	1068.0	3507.275	70.05	1017.875	4868.975	0.25355673866206085	40.0	7.905913594891791	6.371540648077604
red	47	1713.0588235294117	18.50980392156863	790.1372549019608	32.94117647058823	133.58823529411765	4143.274509803921	0.010689616125014154	51.0	9.638780963957279	7.145848034198263
