Group	ROI	12C	13C	14N_12C	31P	32S	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	3196.43661971831	34.929577464788736	9510.014084507042	23.35211267605634	772.5352112676056	7321.760563380281	0.010809538546029892	71.0	25.075520293197464	3.771055671671328
red	2	2853.068181818182	28.227272727272727	8378.386363636364	10.590909090909092	730.0681818181819	6491.113636363636	0.00979672969071677	44.0	10.227513175774261	5.60781249831192
red	3	3157.9384615384615	32.92307692307692	4160.430769230769	83.8	473.46153846153845	7830.430769230769	0.010317927157362853	65.0	11.686902932402818	7.266065519427837
red	4	3648.6853932584268	39.70786516853933	8953.662921348314	53.831460674157306	775.3932584269663	7093.831460674157	0.010765626761142606	178.0	27.44859298588725	8.439919184205307
red	5	1232.625	52.861111111111114	2307.6944444444443	47.80555555555556	227.41666666666666	6198.236111111111	0.041121495327102804	72.0	19.218807866461777	5.03001038159371
red	6	3744.5857142857144	39.65714285714286	3602.1714285714284	65.0	943.9714285714285	7497.4	0.010479544879707961	70.0	11.562926596891892	7.75838939896101
red	7	3483.7764705882355	174.25882352941176	9157.870588235293	189.0	1523.1764705882354	7411.047058823529	0.04763727233841374	85.0	19.454611665085288	5.837145861800821
red	8	1521.1176470588234	144.7941176470588	3705.6470588235293	114.70588235294117	327.38235294117646	8086.382352941177	0.08691583835031161	34.0	7.171038359073228	6.235994510727335
red	9	2184.6206896551726	106.82758620689656	5965.827586206897	211.01724137931035	850.8793103448276	4573.413793103448	0.04662011677601878	58.0	9.45930408651697	7.783075419674383
red	10	4500.608695652174	336.1811594202899	8531.268115942028	146.7826086956522	913.7391304347826	7735.449275362319	0.06950501665225918	138.0	31.435284731827544	6.233176514097693
red	11	1893.7222222222222	21.77777777777778	2131.6111111111113	17.88888888888889	182.91666666666666	5979.972222222223	0.01136923924707793	36.0	7.3450056870841	6.163534948521058
red	12	2461.125	27.076923076923077	5956.115384615385	40.49038461538461	547.3076923076923	6579.028846153846	0.01088212448748517	104.0	17.803075083518067	7.515383619177356
red	13	2269.2384615384617	24.33076923076923	4894.734615384616	30.611538461538462	441.79615384615386	5305.861538461539	0.010608255859191586	260.0	48.485733151661876	7.194669314475363
red	14	2265.92	375.87	5079.9	67.99	512.32	6319.04	0.14227853084461672	100.0	16.71377655753021	7.675107372861537
red	15	2441.949494949495	26.494949494949495	4447.262626262626	60.898989898989896	471.1313131313131	6591.19191919192	0.01073345991423053	99.0	18.055960426342182	7.231056647319056
red	16	3092.9489795918366	184.44897959183675	6848.071428571428	68.15306122448979	794.8367346938776	6537.459183673469	0.05627909148932858	98.0	20.018552732438597	6.340385393653768
red	17	2194.3478260869565	163.41304347826087	4266.565217391304	85.3913043478261	421.67391304347825	6795.304347826087	0.06930857390486553	46.0	9.05403810183031	6.446362150614951
red	18	1699.2916666666667	43.541666666666664	3419.1666666666665	49.291666666666664	192.25	6197.291666666667	0.024983264798699435	24.0	5.993093037197762	5.158547627508102
red	19	1244.9855072463768	27.6231884057971	2866.8115942028985	32.73913043478261	118.56521739130434	5457.63768115942	0.021705956041453138	69.0	20.793559653984612	4.318070206507513
red	20	3520.7239819004526	260.2307692307692	5320.710407239819	176.79185520361992	791.8868778280543	9071.484162895928	0.06882673461059298	221.0	43.851732190871694	6.785674822704272
red	21	4033.4871794871797	115.82051282051282	9144.48717948718	81.07692307692308	1208.2692307692307	7466.153846153846	0.027913213820037943	78.0	20.991830098104924	4.922329547318156
red	22	2432.75	26.75	3951.15625	80.9375	500.25	8479.5625	0.010876194348444806	32.0	6.324555320336759	6.324555320336759
red	23	3266.848275862069	35.186206896551724	9168.627586206896	43.15862068965517	999.8689655172413	6531.958620689656	0.010655917459455507	145.0	20.468677076694213	9.233821574533588
red	24	4263.381443298969	47.876288659793815	8989.247422680412	107.24742268041237	809.3298969072165	8357.60824742268	0.011104947009985844	97.0	16.39651553045977	7.624062335691064
red	25	2402.58	24.08	7095.06	15.84	564.08	5623.02	0.009923104184352155	50.0	9.414881836751857	6.693280212272604
red	26	3551.6962025316457	264.62025316455697	9670.848101265823	83.39873417721519	1101.6518987341772	7277.56329113924	0.06933917987057571	158.0	28.65648178285157	8.703271033863876
red	27	2332.535714285714	23.553571428571427	7765.428571428572	85.44642857142857	3830.2321428571427	6783.160714285715	0.009996892550458158	56.0	10.926988402572562	6.604258517993802
red	28	3899.752	41.776	10160.584	86.728	736.272	7419.232	0.010598935235269164	125.0	18.76840542535179	8.715338994532885
red	29	1354.0	205.8048780487805	2528.487804878049	84.5609756097561	304.5365853658537	6011.487804878048	0.1319427070302727	41.0	9.195199180266533	5.793831081654435
red	30	2837.0298507462685	33.014925373134325	7709.119402985075	66.86567164179104	678.1343283582089	5437.731343283582	0.011503278850504178	67.0	11.431686342566607	7.43016767315574
red	31	3535.3513513513512	42.527027027027025	9465.256756756757	69.32432432432432	741.3243243243244	4811.554054054054	0.011886101910010084	74.0	12.893619711886217	7.302601041707407
red	32	1817.0	22.4	1710.975	216.1	343.675	8607.7	0.012177884092638903	40.0	8.578556913435799	5.943766590550378
red	33	2402.76	162.3542857142857	4547.137142857143	81.73714285714286	435.4742857142857	6004.885714285714	0.06329319774111986	175.0	24.405295603976644	9.947218847951873
red	34	1697.563492063492	174.83333333333334	5692.571428571428	84.82539682539682	523.9603174603175	5609.603174603175	0.09337408126414662	126.0	22.08485452837242	7.733478747105375
red	35	2276.689655172414	174.8735632183908	4511.6781609195405	78.70114942528735	484.01724137931035	6370.057471264367	0.07133145166583836	174.0	29.785393427388453	7.730778747342956
red	36	2502.6732673267325	159.72277227722773	5395.39603960396	61.43564356435643	429.18811881188117	5371.306930693069	0.05999211608690155	101.0	18.318056417012365	7.197592845967428
red	37	1399.8275862068965	58.310344827586206	2952.0344827586205	85.51724137931035	556.0	6996.793103448276	0.039989594664900915	29.0	6.258786926641891	5.892416376081057
red	38	3741.642424242424	41.93333333333333	5036.59393939394	159.16969696969696	769.1454545454545	7778.40606060606	0.01108299027695462	165.0	19.380948416774153	11.80770612209621
red	39	3237.2571428571428	230.4326530612245	7695.49387755102	74.7469387755102	793.6326530612245	4844.216326530613	0.0664513455997288	245.0	47.23511627141543	8.299693188753915
red	40	2791.4444444444443	191.22222222222223	2371.8395061728397	113.81481481481481	578.320987654321	8468.395061728395	0.06411116078080763	81.0	14.279942807224236	7.49143792616306
red	41	1141.3636363636363	15.151515151515152	1152.7424242424242	73.45454545454545	280.1818181818182	5414.333333333333	0.013101008777675881	66.0	22.226021976527644	4.571470838764304
red	42	1685.44	28.36	3195.8	19.52	117.0	4363.68	0.01654802193954954	25.0	7.858886029514017	4.0836638420797335
red	43	695.9078947368421	7.565789473684211	1415.75	15.473684210526315	37.56578947368421	5307.960526315789	0.010754900493790213	76.0	25.790293744608867	4.08386129563972
red	44	2773.4375	35.3125	3502.5625	40.75	347.75	7369.9375	0.012572318647085003	32.0	6.86170839480817	6.054034432064215
red	45	1743.2857142857142	25.081632653061224	1293.7551020408164	59.97959183673469	86.65306122448979	5158.918367346939	0.014183496826312753	49.0	13.20754980805962	4.739752223623463
red	46	3673.05	184.7277777777778	7015.788888888889	79.86111111111111	661.6	6191.1	0.04788450460829493	180.0	36.28962093737168	7.178823788567782
red	47	2771.851063829787	122.74468085106383	9473.106382978724	41.95744680851064	1090.4893617021276	5516.063829787234	0.04240477485556356	47.0	8.947833146041965	6.809682309995743
red	48	1826.9285714285713	19.5	5105.214285714285	45.714285714285715	729.1428571428571	6321.928571428572	0.010560928433268859	14.0	4.742873420478221	3.686025552052299
red	49	3216.51875	223.70625	3801.75625	173.90625	1433.55625	7469.36875	0.0650266334324063	160.0	19.96424165067278	11.764817478972729
red	50	2181.3932584269664	24.15730337078652	4417.9775280898875	109.8314606741573	525.2134831460675	6162.685393258427	0.010952958317625602	89.0	14.23753683445455	8.155927763839248
red	51	2961.5	32.03333333333333	4796.866666666667	88.2	644.8666666666667	7016.9	0.010700844041600785	30.0	6.516079096816647	6.006907309610442
red	52	3159.2473118279568	140.83333333333334	7789.1612903225805	97.24193548387096	488.7903225806452	5473.043010752688	0.04267572477049274	186.0	30.287787951491875	8.18029431902218
red	53	2904.84375	31.3125	6145.28125	74.09375	1150.0625	6933.25	0.010664452888023245	32.0	7.805861210383289	5.22073086494923
red	54	4043.8578680203045	61.807106598984774	11253.289340101523	70.51776649746193	911.3350253807107	6422.350253807107	0.015054103776384246	197.0	37.434286881496455	6.980243071520463
red	55	2211.808510638298	22.829787234042552	974.6170212765958	12.574468085106384	229.2127659574468	5662.255319148936	0.01021632326617664	47.0	10.230584523765957	6.442113483382072
