Group	ROI	12C	13C	14N_12C	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	2107.68156424581	2264.8715083798884	4922.6815642458105	5708.597765363129	0.5179746182062561	179.0	60.00844638972533	6.426868724004694
red	2	1865.2265625	1790.2265625	5690.4296875	4930.8828125	0.48974135388482104	128.0	41.404862835151874	5.278441339757316
red	3	1973.55421686747	2007.0361445783133	8088.361445783133	5240.0	0.5042056484931399	83.0	25.949964258009526	4.323655703546275
red	4	2292.411111111111	2493.677777777778	7098.466666666666	5413.277777777777	0.5210262148634468	90.0	29.920281427694885	6.3501506760488775
red	5	2281.2178217821784	2118.1947194719473	5628.610561056105	5593.089108910891	0.48147217375257123	303.0	78.2855936240285	23.56870137073669
red	6	2344.3101265822784	1755.5189873417721	6505.632911392405	5083.715189873417	0.42819320965832164	158.0	54.808177227392044	5.012747856510801
red	7	3063.527027027027	2526.810810810811	8056.324324324324	5258.2972972972975	0.45199608397693897	74.0	26.04310594506091	4.683467200768412
red	8	2451.207920792079	2450.6435643564355	6494.009900990099	6080.158415841584	0.49994243436002156	101.0	31.96522712053412	6.01486270306876
red	9	2061.6153846153848	2072.147435897436	5199.307692307692	5905.8141025641025	0.501273906092264	156.0	50.07705759926627	5.123427752023876
red	10	3389.892307692308	1268.123076923077	7630.2	5016.984615384616	0.27224536035485564	65.0	11.462444960732714	8.549074514168208
red	11	3207.8125	437.6607142857143	3355.4241071428573	5348.821428571428	0.12005594021940126	224.0	58.84560401624573	6.853844273876711
red	12	2164.747572815534	1799.6407766990292	5286.155339805825	5834.9126213592235	0.45395168637285344	103.0	35.41761380695908	4.66593735139142
red	13	2842.4920634920636	3030.285714285714	7770.777777777777	6205.0952380952385	0.5159884860197035	63.0	19.2372587891026	4.279470260990868
red	14	2115.811111111111	1969.8777777777777	3307.5333333333333	5663.533333333334	0.48214091462883996	90.0	29.34371277340156	4.463442969417893
red	15	1432.8	1537.0615384615385	3266.492307692308	4946.030769230769	0.5175532658865215	65.0	17.10425254653714	5.906754771011691
red	16	2412.951219512195	2361.5	6710.743902439024	5529.341463414634	0.4946118184952938	82.0	27.14112282382534	4.237957609465186
red	17	2341.4649681528663	2129.3821656050955	4423.866242038216	6499.012738853503	0.4762815864418177	157.0	56.66296972214514	4.346028869764135
red	18	2317.429906542056	2099.299065420561	7687.22429906542	5576.7663551401865	0.475306290865232	107.0	33.05499590888778	4.6722952258116655
red	19	2878.4	2666.0	4568.190476190476	6038.752380952381	0.4808455378399827	105.0	29.25502489248104	5.159534615823324
red	20	2188.3636363636365	2296.659090909091	5616.579545454545	5880.318181818182	0.5120730106769501	88.0	28.353539498507967	4.647973473534537
red	21	2112.7640449438204	1905.938202247191	4625.056179775281	5673.455056179775	0.47426708549492613	178.0	52.96017199663628	6.039752399974294
red	22	2910.1564245810055	2526.9888268156424	5502.9553072625695	6144.379888268157	0.46476389906385723	179.0	57.83495584057331	6.073466164299247
red	23	1032.6835443037974	275.44303797468353	1718.4810126582279	4510.2531645569625	0.2105629850399644	79.0	20.01866597541824	5.316607162035693
red	24	2353.2875816993464	2213.7124183006536	4421.751633986928	5598.954248366013	0.4847191631926108	153.0	41.93408359624885	6.4699590522590436
red	25	2589.527777777778	658.0277777777778	4029.152777777778	4999.958333333333	0.2026224852880799	72.0	18.93356524025284	5.028165965051461
red	26	2628.744680851064	2784.351063829787	4820.851063829788	5817.882978723404	0.5143731415735283	94.0	29.90307251606823	4.247546907632208
red	27	2445.074074074074	2660.925925925926	4407.0888888888885	5999.777777777777	0.5211370791080936	135.0	46.510701122038896	4.880565663039484
red	28	1877.4338624338625	1820.05291005291	4701.492063492064	5363.6984126984125	0.4922405466318463	189.0	32.58569085151934	25.867198826993334
red	29	2710.2132352941176	2611.860294117647	7148.845588235294	4995.360294117647	0.49075990395163316	136.0	45.254178007398856	4.695543333834491
red	30	3028.258426966292	2903.4157303370785	6594.359550561798	5685.078651685393	0.48947660531255743	89.0	25.819842832338608	5.017935353251026
red	31	5501.585714285714	966.1	5424.342857142857	5916.257142857143	0.14937336826155526	70.0	11.923506381354054	7.636739585201035
red	32	3118.535	3362.595	6794.55	5966.95	0.5188285067573093	200.0	35.72255420125851	8.634507590948537
red	33	2565.9717514124295	2799.5649717514125	4557.016949152542	7012.598870056498	0.5217679267136991	177.0	47.22427078374966	5.732396084885915
red	34	2208.1570247933882	1911.2148760330579	6012.528925619835	4869.809917355372	0.4639578367880845	121.0	40.43503249779626	4.819225598879331
red	35	1889.5529411764705	1997.9882352941177	3944.7294117647057	5746.835294117647	0.51394651390112	85.0	26.498257054850427	4.647150338977935
red	36	2976.309734513274	2462.150442477876	7720.123893805309	5036.424778761062	0.4527293318970427	113.0	38.128657064752986	3.8785114248027592
red	37	2980.189024390244	2446.829268292683	6795.835365853659	5719.323170731707	0.450860700357628	164.0	54.78488079976865	9.126707410913339
red	38	2818.6757575757574	2730.9969696969697	5796.957575757576	6529.127272727273	0.4921005442854397	330.0	55.70771424960677	16.44998971724803
red	39	5567.995708154506	944.1330472103004	8274.613733905579	5817.4248927038625	0.14498070948497555	233.0	40.763218086160414	9.613271010143558
red	40	3791.759493670886	2360.2911392405063	8366.835443037975	5594.367088607595	0.38365925121190425	79.0	30.227748246157915	3.617810888812156
red	41	2156.9872611464966	2139.2229299363057	5475.337579617834	5466.738853503185	0.497932557949904	157.0	51.735206259330845	4.573644982727563
red	42	2514.086956521739	2630.8695652173915	6231.282608695652	4972.695652173913	0.5113492318353136	46.0	15.394525157217677	3.9235479421199226
red	43	1877.358024691358	1889.79012345679	5279.950617283951	4782.0123456790125	0.5016500676740764	81.0	27.005638638407795	4.087614156167332
