Group	ROI	12C	13C	14N_12C	SE	Ratio_13Cx12C	area	axis_major_length	axis_minor_length
red	1	3418.8837209302324	46.43023255813954	3566.0581395348836	6724.104651162791	0.01339856451142049	86.0	27.180255539785204	4.144048203040135
red	2	4953.5142857142855	64.05	8005.978571428572	7955.821428571428	0.012765157824157708	140.0	40.982676755821494	5.3458931222750286
red	3	4792.215053763441	55.58064516129032	3303.8602150537636	7279.666666666667	0.01146513768590092	93.0	18.62513414379026	6.675850129970115
red	4	3128.3189368770763	46.66112956810631	3909.8006644518273	5752.006644518273	0.014696511030492776	301.0	77.53863561213946	9.553284604349654
red	5	4738.35	64.725	6620.65	6097.375	0.013475742102715448	40.0	8.148619514985345	6.209669878504008
red	6	3047.897435897436	38.76923076923077	3409.0	5801.794871794872	0.012560225951154677	39.0	12.72698806204918	4.475527844893481
red	7	5662.136363636364	72.77272727272727	7557.787878787879	8348.787878787878	0.012689429966394014	66.0	18.519846129785684	4.706799193670758
red	8	6283.404109589041	74.27397260273973	6386.1506849315065	7494.061643835616	0.0116825626655721	146.0	22.377404058611702	10.49204880036446
red	9	5126.081395348837	68.23255813953489	7525.290697674419	6601.5	0.013136009634864599	86.0	22.29942590220439	5.357633444432611
red	10	5203.671568627451	77.51470588235294	8466.235294117647	6245.693627450981	0.014677517863076663	408.0	84.44789097973128	6.899333761001996
red	11	3128.0375	41.0625	2535.1625	7397.825	0.012957148717301442	80.0	30.053579489126456	3.753646212785332
red	12	5258.222222222223	66.44444444444444	8829.0	6585.111111111111	0.012478611076332373	18.0	6.831300510639732	3.265986323710904
red	13	5214.511111111111	75.5111111111111	6873.288888888889	6388.422222222222	0.014274252156050594	45.0	10.349668820454697	7.264553532252155
red	14	4417.564263322884	56.14733542319749	7416.379310344828	6400.134796238244	0.012550504024205494	319.0	53.79347597757096	9.213537589989427
red	15	6222.157142857143	93.27857142857142	7719.192857142857	7619.778571428571	0.014769934435018056	140.0	17.878870602225977	11.412983399203393
red	16	5564.4	61.94	5751.32	7409.04	0.011008932983076031	50.0	12.656045424246164	5.124111066264832
red	17	5044.934782608696	55.34782608695652	4421.673913043478	7246.326086956522	0.010851913576826518	46.0	12.60818278646709	4.713099929347769
red	18	6273.142857142857	73.60714285714286	6533.946428571428	9354.69642857143	0.011597611826075212	56.0	17.521395159800235	4.8271867648033
red	19	3806.859375	59.8125	7046.140625	5620.0	0.015468729163888518	64.0	23.040797516510565	3.920171367830823
red	20	3700.2871794871794	50.13333333333333	5576.461538461538	5645.830769230769	0.013367389913199476	195.0	66.10321101275917	5.0111142793507994
red	21	5737.066666666667	65.52916666666667	7194.504166666667	7093.8375	0.01129307788252815	240.0	25.84757065784726	17.27813428645948
red	22	4161.28125	63.4375	9568.03125	5990.28125	0.015015792471392326	32.0	8.716180364430707	4.658333914041861
red	23	1855.15625	23.53125	3053.9296875	5751.7890625	0.012525366778668619	128.0	34.99119913535387	5.290558241576282
red	24	3012.4358974358975	39.23076923076923	5263.00641025641	5391.211538461538	0.012855522413141201	156.0	44.13175877961702	4.9463223731385
red	25	2133.2132352941176	31.125	2134.7132352941176	6795.154411764706	0.014380839137081705	136.0	38.70711458757079	4.643495285962375
red	26	2701.0604026845635	35.53691275167785	2404.2751677852348	6595.281879194631	0.012985802679563363	149.0	41.4465952162236	5.3416095086171
red	27	3004.987878787879	38.6	3840.212121212121	6285.939393939394	0.012682400356835632	165.0	42.281697733399945	7.146760235843818
red	28	4435.529411764706	44.205882352941174	4135.970588235294	6082.470588235294	0.00986796751383682	34.0	10.041538258939323	4.312775828374916
red	29	2690.62987012987	36.214285714285715	3123.7727272727275	5326.194805194805	0.013280658389175443	154.0	49.464838470305196	4.374121949372739
